lambda,r2,beta,n
0,0.0012856678936516422,0.035856211367790145,3166
0.1,0.0015807595496649385,0.03975876695352784,3166
0.2,0.0018799026843007074,0.04335784455321429,3166
0.30000000000000004,0.002150167792171479,0.0463699017916955,3166
0.4,0.00234840856396413,0.048460381384840163,3166
0.5,0.0024267973400533332,0.049262534852089555,3166
0.6000000000000001,0.0023456437661573794,0.04843184661106161,3166
0.7000000000000001,0.0020920860949034223,0.045739327661252556,3166
0.8,0.001683580139420921,0.04103145305032378,3166
0.9,0.001109332867988299,0.03330664900569089,3166
