category_name,n_brands,rho_soc,r_soc,rho_aware,rho_conv,pct_searchable,median_r_within,survey_reliability
Department Stores,6,1,0.8557008633862189,1,0.9428571428571428,1,0.2120336278301535,0.26559908545294697
Chocolate & Confectionery,7,0.9642857142857141,0.6699993537521572,0.9285714285714283,0.9285714285714283,1,-0.13916461115162176,0.40277575355367135
"Coupons, Discounts and Vouchers",6,0.9428571428571428,0.9353392981619258,0.8857142857142858,0.4857142857142857,1,0.02247728619450443,0.21259476789602955
Reusable Bottles,8,0.9285714285714287,0.8033266195695226,0.9285714285714287,0.9285714285714287,0.8888888888888888,0.26099708064930216,0.36445204733206094
Online Market Places,7,0.9285714285714283,0.9147775545230846,0.9642857142857141,0.7499999999999998,0.875,0.4476923389197439,0.025115494267752433
Streetwear,6,0.8857142857142858,0.7744683010855553,0.9428571428571428,0.6571428571428571,0.8571428571428571,0.05475968243720227,0.25448812752017813
Fast Food,12,0.8391608391608392,0.7622700060511952,0.7482517482517483,0.5664335664335665,0.8,0.42232726063926973,0.6320806312723547
Outdoor Apparel,9,0.8333333333333334,0.3401086690360636,0.8666666666666667,0.48333333333333334,0.75,-0.05525984435628294,0.5549715594016581
Chocolate,6,0.8285714285714285,0.9242861951760152,1,0.8285714285714285,0.8571428571428571,0.24504565087756897,0.46193778677640995
Furniture & Homeware,10,0.806060606060606,0.7930985834524228,0.7212121212121211,0.6969696969696969,0.9090909090909091,-0.1798144164904572,0.30357519715046555
Feminine Hygiene Products (Female Only),5,0.7999999999999998,0.5055606935182633,0.5999999999999999,0.5999999999999999,0.7142857142857143,0.4330010883483809,0.20556103841221107
Fresh Milk (Dairy),5,0.7999999999999998,0.730013911032968,0.29999999999999993,0.5999999999999999,0.7142857142857143,0.11762258859579722,0.13603781544589028
Audio Content,7,0.7857142857142855,0.6043525909943827,0.8928571428571427,0.5714285714285713,0.5833333333333334,-0.1893571794074949,0.2385175695020597
Skincare,6,0.7714285714285715,0.7291676691360409,0.7714285714285715,-0.7714285714285715,0.6666666666666666,0.30085082229420973,0.11043201805121312
Body Care,10,0.7454545454545454,0.9011122108885969,0.6363636363636362,0.7818181818181817,0.7692307692307693,0.17816826586724643,0.14684757956595257
Social Media Platforms,10,0.7454545454545454,0.891928536700388,0.5393939393939393,0.6848484848484847,0.8333333333333334,0.12953718684238563,0.444388299673294
Female Fashion,11,0.7272727272727273,0.801386264645583,0.6272727272727273,0.5545454545454546,1,0.18910854536211014,0.19423327479574862
Car Insurance,9,0.7166666666666667,0.717702977202444,0.7333333333333333,0.43333333333333335,0.9,-0.004745968590823474,0.17128263348121026
Chocolate bars and blocks,8,0.6666666666666667,0.7281413878064625,0.6190476190476192,0.4761904761904763,0.8888888888888888,-0.18440256051033993,0.500029393280835
Liquor Retailer,9,0.6666666666666666,0.6558054765554251,0.5666666666666667,0.45,0.8181818181818182,-0.230484161200416,0.29375787143834114
Homeware,11,0.6545454545454545,0.5469667915046772,0.7181818181818183,0.23636363636363636,0.9166666666666666,0.12027188528143226,0.5743111883977738
"Crumbs, Coatings and Sauces",5,0.5999999999999999,0.5570225111398095,0.5999999999999999,0.7999999999999998,0.8333333333333334,0.5111223044879378,0.1713384074961541
Packaged Snacks,7,0.46428571428571414,0.3690145468148889,0.7142857142857142,0.10714285714285711,0.7,-0.3395082387863683,0.2310221462061615
Laundry Care,11,0.4454545454545455,0.5844114156963014,0.4272727272727273,0.5636363636363636,0.7857142857142857,-0.13279731131487765,0.3484205055634495
Online Outlet Retailer,6,0.42857142857142855,0.533840962745325,0.42857142857142855,0.6571428571428571,1,-0.08964596987182644,0.16350831904077132
Floor Cleaning Appliances,7,0.42857142857142844,0.9003697242611778,0.42857142857142844,0.39285714285714274,1,0.24610256711618927,0.35747097781452025
Skincare (Female Only),27,0.412087912087912,0.43360042832863366,0.39926739926739924,0.362051282051282,0.9642857142857143,0.1146388033889893,0.41862533520836454
"Chips, Crisps, Crackers",4,0.4,0.6244743741424446,0.4,0.8,0.5714285714285714,0.020654623250605006,0.3476324562105503
Eco Products,4,0.4,0.3984055719696518,0.8,-0.8,0.6666666666666666,0.2920839920773118,0.23313648845807755
Health & Beauty Retailers,4,0.4,-0.3035467597254916,0.4,-0.4,0.6666666666666666,-0.11140728333902186,0.30926837470140794
Chocolate confectionery,5,0.3999999999999999,0.7792202641994056,0.3999999999999999,0.6999999999999998,0.625,-0.11485330321649823,0.24212755076065023
Kitchenware Retailers,5,0.3999999999999999,0.3444723339986717,0.3999999999999999,0.6999999999999998,0.625,0.20522343561407652,0.2021165962387563
Sugar confectionery,12,0.3846153846153847,0.4044214497162845,0.34965034965034975,0.4615384615384616,1,-0.03819612234692197,0.303946530074062
Garden Care,8,0.3095238095238096,-0.3863974941601079,0.3095238095238096,0.11904761904761907,0.8888888888888888,-0.14555489769731247,0.24585525588649706
Men's Clothing (Male Only),9,0.26666666666666666,0.6760610485980656,0.31666666666666665,0.4666666666666667,0.75,-0.13803034315004126,0.2039876267515505
Coffee,12,0.2517482517482518,0.3501006511317368,0.2657342657342658,0.49650349650349657,0.6666666666666666,-0.0674936726810467,0.21827808278334018
News or Media Sources,5,0.19999999999999996,0.21957201488187866,0.4999999999999999,-0.5999999999999999,0.7142857142857143,0.09124009562013963,0.0710996325583866
Retail Establishments,8,0.11904761904761907,0.25534795501026825,-0.02380952380952381,-0.3095238095238096,1,0.12862260611937837,0.14576717875443357
Breakfast or Health Foods,9,0.11666666666666667,0.8168183728014909,0.1,0.13333333333333333,0.75,-0.001073291296499006,0.5531806162739551
"Mattresses, beds, and pillows",5,0.09999999999999998,0.4579353881144878,0.29999999999999993,-0.09999999999999998,0.5,-0.1366986896477025,0.35939904293224656
Asian Foods & Condiments,14,0.0945054945054945,0.07195362899703141,0.02857142857142857,0.0945054945054945,0.875,-0.18117858910073767,0.21927948533426123
Female Skincare,8,0.04761904761904762,-0.22571882232373777,0,0.11904761904761907,1,0.44225236163871473,0.3552686473415372
Household Cleaners (Indoor),14,0.006593406593406593,0.2341499761829845,0.002197802197802198,0.03296703296703296,0.8235294117647058,0.12222048539222741,0.4270668337917294
Yoghurt,10,0.00606060606060606,0.20735838853413552,0.19999999999999996,-0.3454545454545454,0.625,0.023053785674274484,0.656343071158858
Haircare,13,-0.07142857142857142,-0.2044613599272269,-0.027472527472527476,-0.15384615384615385,0.9285714285714286,0.17528265514089097,0.351831466667235
Cafes,7,-0.14285714285714282,-0.14335787718804027,-0.21428571428571422,-0.07142857142857141,1,0.2322914017475972,0.23664621933143853
Men's Online Health Providers,12,-0.21678321678321683,0.01925081112995284,-0.2867132867132867,-0.2657342657342658,0.9230769230769231,-0.18021818123356756,0.5933798840630906
Healthy Beverages,5,-0.29999999999999993,-0.37859493437915437,-0.29999999999999993,0.5999999999999999,0.625,0.3430463052388319,0.33912376596213956
