lag_months,mean_r,n_brands,run
-3,0.030739871964622356,375,real
-2,0.03617684701090748,383,real
-1,0.03438859467582219,391,real
0,0.041604104757725614,391,real
1,0.056558107538891365,391,real
2,0.06886884086220471,383,real
3,0.06511260083594281,375,real
-3,-0.00345091767811553,360,placebo_1
-2,-0.007102719337232724,369,placebo_1
-1,0.008421941443049604,378,placebo_1
0,0.012127176103630646,378,placebo_1
1,0.009277465511615658,378,placebo_1
2,0.007497650238815896,369,placebo_1
3,0.008141003602701025,360,placebo_1
-3,0.023140316343482913,363,placebo_2
-2,0.03497351028757604,372,placebo_2
-1,0.03886583132582768,381,placebo_2
0,0.027308273654297287,381,placebo_2
1,0.014221752927353832,381,placebo_2
2,0.013158000086400458,372,placebo_2
3,0.02921658786321767,363,placebo_2
-3,-0.05032839679877468,359,placebo_3
-2,-0.025180115996477483,368,placebo_3
-1,-0.020193580782515288,378,placebo_3
0,-0.02541548222197378,379,placebo_3
1,-0.03459428054048126,379,placebo_3
2,-0.03180899987887241,369,placebo_3
3,-0.008891650701632624,360,placebo_3
-3,-0.018895911173721514,360,placebo_4
-2,-0.014061087577796368,369,placebo_4
-1,0.004379183795292299,379,placebo_4
0,0.012778755672171902,379,placebo_4
1,0.003589792610085094,379,placebo_4
2,-0.01674782335665086,369,placebo_4
3,-0.012582504529001276,360,placebo_4
-3,-0.023332811528753643,360,placebo_5
-2,-0.006367367358641462,369,placebo_5
-1,-0.006036034175744387,379,placebo_5
0,-0.005674176758668718,379,placebo_5
1,-0.0035342271902564504,379,placebo_5
2,0.0017935160936780185,369,placebo_5
3,0.014526262728993166,360,placebo_5
-3,0.012591927900783919,364,placebo_6
-2,0.01558680955041754,373,placebo_6
-1,0.019604659073234724,383,placebo_6
0,0.021170889497804435,383,placebo_6
1,0.026978376182823414,383,placebo_6
2,0.025569830390710088,373,placebo_6
3,0.008217095305540592,364,placebo_6
-3,-0.025439268339675313,361,placebo_7
-2,-0.014435317646806622,369,placebo_7
-1,-0.006997857863441559,379,placebo_7
0,-0.004623975501271805,379,placebo_7
1,-0.0033373860655132657,379,placebo_7
2,-0.0012210795800713732,369,placebo_7
3,0.0017799798134377142,361,placebo_7
-3,0.026476473553729583,360,placebo_8
-2,0.022455546174867533,369,placebo_8
-1,0.020170617061246395,379,placebo_8
0,0.01671815673907752,379,placebo_8
1,0.01555824165167988,379,placebo_8
2,0.006283319452302758,369,placebo_8
3,0.014284401846062758,360,placebo_8
-3,-0.011716238168644987,360,placebo_9
-2,-0.0015978202638319756,369,placebo_9
-1,0.021836987243162086,379,placebo_9
0,0.026684480578346995,379,placebo_9
1,0.02306591195578,379,placebo_9
2,0.020184741896477586,369,placebo_9
3,0.0178140323788446,360,placebo_9
-3,-0.0037599444823350242,358,placebo_10
-2,0.0033053746602398812,367,placebo_10
-1,0.0017702151300848343,377,placebo_10
0,0.0024747692505489543,378,placebo_10
1,1.4616615337594585e-4,378,placebo_10
2,0.004410022806316577,368,placebo_10
3,0.007333622462917084,359,placebo_10
-3,-0.03721399183143145,358,placebo_11
-2,-0.034789370825924294,367,placebo_11
-1,-0.04605098080954524,377,placebo_11
0,-0.03928689743911099,378,placebo_11
1,-0.03545577359280169,378,placebo_11
2,-0.024751207733738945,368,placebo_11
3,-0.00840959246512567,359,placebo_11
-3,-0.014420760876701837,360,placebo_12
-2,-0.009345217586146365,369,placebo_12
-1,-0.004361848958636452,379,placebo_12
0,0.009991999311396663,379,placebo_12
1,0.030277654633326746,379,placebo_12
2,0.043109400452976045,369,placebo_12
3,0.056765043878889025,360,placebo_12
-3,-0.010931488383269822,363,placebo_13
-2,-0.00421279420905935,372,placebo_13
-1,-0.0034013530556559566,382,placebo_13
0,0.006380540933212538,382,placebo_13
1,0.013609847235186472,382,placebo_13
2,0.011270256319612024,372,placebo_13
3,0.007147244126150717,363,placebo_13
-3,-0.03525490937704478,358,placebo_14
-2,-0.02245528695356341,367,placebo_14
-1,-0.029942047074743072,377,placebo_14
0,-0.03528750360779216,377,placebo_14
1,-0.025055444633352856,377,placebo_14
2,-0.023026594986234834,367,placebo_14
3,-0.03726703360676773,358,placebo_14
-3,0.015420422222556561,361,placebo_15
-2,0.015569585423824459,370,placebo_15
-1,0.017718099088442733,379,placebo_15
0,0.015705338229557237,379,placebo_15
1,0.008135864143782772,379,placebo_15
2,0.007893618224334058,370,placebo_15
3,0.0096513641310774,361,placebo_15
-3,-0.020538747017062094,362,placebo_16
-2,-0.01021025131687798,370,placebo_16
-1,-0.0013718707446624566,379,placebo_16
0,0.007463666504204222,379,placebo_16
1,0.0010236257090096093,379,placebo_16
2,0.004213599945840661,370,placebo_16
3,0.020167418060943725,362,placebo_16
-3,-0.00958440848032076,360,placebo_17
-2,-0.005154173213033177,369,placebo_17
-1,0.011361135109197687,379,placebo_17
0,0.02128301053797331,379,placebo_17
1,0.02549606748767746,379,placebo_17
2,0.028265980699623387,369,placebo_17
3,0.03317437060346606,360,placebo_17
-3,-0.05342208135009752,362,placebo_18
-2,-0.046084928299808106,371,placebo_18
-1,-0.041778818439973345,381,placebo_18
0,-0.03411114929895101,381,placebo_18
1,-0.03539592820918756,381,placebo_18
2,-0.03847374151845506,371,placebo_18
3,-0.038612131815606354,362,placebo_18
-3,-0.007099391479793567,360,placebo_19
-2,-0.004507053621332324,369,placebo_19
-1,-0.0028548488472449622,379,placebo_19
0,-0.0017925959508082556,379,placebo_19
1,-0.0013099018563218904,379,placebo_19
2,0.006110716350779757,369,placebo_19
3,0.007615808149025462,360,placebo_19
-3,-0.02376907404622488,360,placebo_20
-2,-0.023653785565728183,369,placebo_20
-1,-0.012119811423090772,378,placebo_20
0,-0.010309828389734418,379,placebo_20
1,-0.02107338925322803,379,placebo_20
2,-0.02122490222318581,370,placebo_20
3,-0.012915702878801569,361,placebo_20
-3,-0.024830400698318586,365,placebo_21
-2,-0.023480233088603742,374,placebo_21
-1,-0.019569042517014617,383,placebo_21
0,-0.02510162605239532,384,placebo_21
1,-0.022723821002499457,384,placebo_21
2,-0.01708278750378029,375,placebo_21
3,-0.018163280013650484,366,placebo_21
