category_name,brand_name,waves,mean_p,obs_var,noise_var,signal_var,reliability,max_attainable_r
Asian Foods & Condiments,AYAM,19,0.5613236817216842,0.0016265356611946259,0.0010611011776083363,5.654344835862896e-4,0.34763116301489533,0.5896025466489229
Asian Foods & Condiments,Bibigo,8,0.035382127546625,2.335726173594878e-4,1.4970326888644433e-4,8.386934847304348e-5,0.359071835650844,0.5992260305184046
Asian Foods & Condiments,Chang's,19,0.32492806253094736,0.0013405962989187312,9.47407359254483e-4,3.9318893966424826e-4,0.293294066216189,0.5415663082358327
Asian Foods & Condiments,Golden Wok,19,0.13337768727394736,6.373235712451351e-4,4.967876625906663e-4,1.4053590865446884e-4,0.2205095103887413,0.4695844017732502
Asian Foods & Condiments,Hong Kong Dim Sim Kitchen,19,0.10519175876931579,3.562610622960299e-4,4.058514153710396e-4,0,0,0
Asian Foods & Condiments,Just Cook,8,0.016351607114125,7.456405199135726e-5,6.928072185111617e-5,5.2833301402410964e-6,0.07085626383144372,0.2661883991300968
Asian Foods & Condiments,Kailis Brothers (KB),19,0.05366996166405263,2.8358396713357517e-4,2.202386396992604e-4,6.334532743431477e-5,0.2233741493731115,0.4726247447744474
Asian Foods & Condiments,Kikkoman,19,0.4307774637275263,0.0018174199281373502,0.001057869998589146,7.595499295482042e-4,0.41792758942984465,0.6464731931254727
Asian Foods & Condiments,Lee Kum Kee,8,0.384141182824125,0.001671154299065634,0.0010377484837654077,6.334058153002263e-4,0.37902293980536234,0.6156483897529192
Asian Foods & Condiments,Lucky Kitchen,8,0.021459634917375,9.570537325022911e-5,9.236477034337867e-5,3.3406029068504397e-6,0.034905071610934264,0.18682899028505792
Asian Foods & Condiments,Marion's Kitchen,8,0.1530718610415,0.0011969405390108265,5.722636075711667e-4,6.246769314396598e-4,0.5218947066124974,0.7224228032201762
Asian Foods & Condiments,Mr Chen's,19,0.31199897390573683,0.001010667417524311,9.28910537561135e-4,8.1756879963176e-5,0.08089395041886703,0.28441861827044135
Asian Foods & Condiments,Obento,19,0.11372184588073685,7.72282127675527e-4,4.360450849114122e-4,3.3623704276411476e-4,0.43538110065572333,0.6598341463244558
Asian Foods & Condiments,Pandaroo,19,0.17064707231852633,7.081745161036177e-4,6.101284979489716e-4,9.804601815464615e-5,0.1384489499764778,0.3720872881146006
Asian Foods & Condiments,Roll’d,19,0.1754821399824737,6.472543084395764e-4,6.243839827170053e-4,2.2870325722571124e-5,0.03533437386876221,0.187974396843725
Asian Foods & Condiments,Urban Eats,8,0.032256708718249996,2.130627714158478e-4,1.3521422782757005e-4,7.784854358827776e-5,0.3653784425639331,0.6044654188321554
Audio Content,ABC Listen,23,0.18705510905743478,9.062127404097424e-4,6.277401166236276e-4,2.7847262378611476e-4,0.30729277063595895,0.5543399414041522
Audio Content,Apple Music,23,0.27181182430495654,8.024220200722363e-4,8.188070258160256e-4,0,0,0
Audio Content,Audible,23,0.29265953189126087,0.001237961194829799,8.56334907460875e-4,3.8162628736892405e-4,0.3082699917919413,0.5552206694566957
Audio Content,LiSTNR,23,0.12123426038908695,8.358723937888767e-4,4.36451170366023e-4,3.994212234228537e-4,0.4778495215188777,0.6912666066857835
Audio Content,Mamamia,23,0.040864279491521736,1.665683021044528e-4,1.6144300528098872e-4,5.125296823464085e-6,0.03076994097142251,0.17541362823743917
Audio Content,SXM Podcasts,23,0.0059973704175217395,2.0629343324461893e-5,2.5061540419812686e-5,0,0,0
Audio Content,Schwartz Media,23,0.008008039266869566,5.496419298181148e-5,3.3302215422019694e-5,2.1661977559791783e-5,0.39411071798980246,0.627782381076279
Audio Content,SoundCloud,23,0.15325026286586957,8.4312120091149e-4,5.308911060582743e-4,3.122300948532157e-4,0.37032646613045295,0.6085445473672844
Audio Content,Spotify,23,0.693071649154913,0.001420815834593715,8.773988694369664e-4,5.434169651567487e-4,0.38246826360303043,0.6184401859541717
Audio Content,Wondery,23,0.018755982536869564,8.587978475728069e-5,7.644326223364425e-5,9.436522523636443e-6,0.1098806028718701,0.3314824322220864
Audio Content,YouTube,23,0.6513777051596956,0.001793387786244089,9.303332595889594e-4,8.630545266551296e-4,0.4812425585113601,0.6937164828021316
Audio Content,iHeartRadio,23,0.19131588917230435,3.9083833392969234e-4,6.367422824742572e-4,0,0,0
Body Care,Beach Road Naturals,20,0.0306100159141,9.356396750134927e-5,1.1739182511260406e-4,0,0,0
Body Care,Bosisto's,9,0.12954918777855556,1.9134086176786878e-4,4.750867563021516e-4,0,0,0
Body Care,Dove,20,0.66146229667655,0.0013226465035028245,8.668348714382696e-4,4.5581163206455497e-4,0.34462090275626056,0.5870442085194781
Body Care,Epzen,20,0.02395181531285,1.2852772872412325e-4,9.28606433738916e-5,3.566708535023165e-5,0.27750498436636056,0.526787418572578
Body Care,Freshwater Farm,20,0.02424968244285,1.1751212622295457e-4,9.318568523396787e-5,2.4326440988986698e-5,0.2070121762824067,0.4549859077844134
Body Care,Glow Lab,20,0.12770760056765,4.821742363086433e-4,4.314880680174234e-4,5.068616829121992e-5,0.10512002607035878,0.3242221862710181
Body Care,Johnson's,20,0.38665598701715,0.00109282935427877,9.186978854888499e-4,1.7413146878992008e-4,0.15934003612562264,0.3991741927099279
Body Care,My Soda,20,0.03618080107705,1.0593703581974955e-4,1.366475930453706e-4,0,0,0
Body Care,OC Naturals,20,0.0510123765407,1.5905632243206182e-4,1.8847944265285453e-4,0,0,0
Body Care,Palmolive,20,0.5324788988026,0.0020109266432949114,9.617754383453785e-4,0.001049151204949533,0.5217252496244689,0.7223055098948566
Body Care,Sukin,20,0.35566482885845,7.587968565802569e-4,8.898020754264521e-4,0,0,0
Body Care,Sundae Body,9,0.06346902186377777,2.4916397112033096e-4,2.4924018746465634e-4,0,0,0
Body Care,Thankyou,20,0.16375669171025,3.274081423833944e-4,5.334812325354133e-4,0,0,0
Breakfast or Health Foods,Blue Frog Breakfast,40,0.020170158460075,2.042830469805474e-4,7.583987091011031e-5,1.284431760704371e-4,0.6287510293630384,0.7929382254394338
Breakfast or Health Foods,Brookfarm,40,0.0416252119525,2.6840302302036937e-4,1.5624453809783053e-4,1.1215848492253884e-4,0.4178734041830335,0.6464312834192305
Breakfast or Health Foods,Carman's,40,0.299715659400825,0.001995649069567117,8.291574274671195e-4,0.0011664916420999977,0.5845174183620496,0.7645373884657634
Breakfast or Health Foods,Farmer Jo,40,0.03691153431685,3.308224467766887e-4,1.3706463927597002e-4,1.9375780750071868e-4,0.5856851897099619,0.7653007184825856
Breakfast or Health Foods,Freshness Fine Foods,40,0.018937006157125,1.623185677284565e-4,7.493798206571367e-5,8.738058566274284e-5,0.5383277272931722,0.7337082030979156
Breakfast or Health Foods,Hubbards,40,0.036008657650675,2.728480957206796e-4,1.3456247922911789e-4,1.3828561649156172e-4,0.5068227290584708,0.711914832728235
Breakfast or Health Foods,Irrewarra,40,0.019554753507025,1.816875168257253e-4,7.439553806187997e-5,1.0729197876384532e-4,0.5905302721857321,0.7684596750550624
Breakfast or Health Foods,Jordans,40,0.145734629005875,8.529684814871393e-4,4.897510730159242e-4,3.6321740847121507e-4,0.4258274676667423,0.6525545706427488
Breakfast or Health Foods,Morning Sun,40,0.08692566563995,4.70608830759277e-4,3.14033054893856e-4,1.56575775865421e-4,0.3327089625853445,0.5768092948153181
Breakfast or Health Foods,Pure Delish,40,0.02583719474145,3.5953829778955323e-4,9.919647909135284e-5,2.6034181869820036e-4,0.7241003817918306,0.850940880315331
Breakfast or Health Foods,Sonoma Bakery,40,0.030140869119375,3.283142814914246e-4,1.1650715351296841e-4,2.1180712797845617e-4,0.6451352862759596,0.8032031413509036
Breakfast or Health Foods,Uncle Tobys,40,0.645982672951725,0.0026560191549922993,9.086572819487821e-4,0.001747361873043517,0.6578875268121261,0.8111026610806589
Cafes,Cafe 63,17,0.10063099733282353,2.0995682080712734e-4,3.1092111024455597e-4,0,0,0
Cafes,Gloria Jeans,17,0.46219410552994117,8.659593692826359e-4,8.479352967664452e-4,1.80240725161907e-5,0.02081399330677825,0.1442705559245484
Cafes,Jamaica Blue,17,0.2789125512614706,5.016908335310952e-4,6.878810007140023e-4,0,0,0
Cafes,Krispy Kreme,17,0.18453509900929413,0.041210603926814256,4.096980376492218e-4,0.04080090588916503,0.9900584316022933,0.995016799658324
Cafes,Starbucks,17,0.475617336838,9.649152579244063e-4,8.502177409860054e-4,1.1469751693840092e-4,0.11886796897079079,0.34477234368607756
