time [UTC],AYAM,Bibigo,Chang's,Golden Wok,Hong Kong Dim Sim Kitchen
2021-08-01,22.0,0.0,20.0,0.0,0.0
2021-09-01,25.25,0.0,16.5,0.0,0.0
2021-10-01,30.4,3.8,16.2,0.0,0.0
2021-11-01,30.25,0.0,8.5,0.0,0.0
2021-12-01,24.5,0.0,20.0,0.0,0.0
2022-01-01,29.0,0.0,15.2,0.0,0.0
2022-02-01,27.25,0.0,9.5,0.0,0.0
2022-03-01,28.5,0.0,17.75,0.0,3.0
2022-04-01,30.25,0.0,19.5,0.0,0.0
2022-05-01,33.6,0.0,23.8,0.0,0.0
2022-06-01,39.25,0.0,12.5,0.0,0.0
2022-07-01,32.6,0.0,21.8,2.8,0.0
2022-08-01,30.0,3.75,15.75,0.0,0.0
2022-09-01,23.0,0.0,46.75,0.0,0.0
2022-10-01,26.0,0.0,11.0,0.0,0.0
2022-11-01,23.25,0.0,26.5,0.0,0.0
2022-12-01,19.25,0.0,15.75,0.0,0.0
2023-01-01,31.2,3.8,24.0,0.0,0.0
2023-02-01,21.25,8.25,26.75,0.0,0.0
2023-03-01,35.25,14.5,31.0,0.0,0.0
2023-04-01,47.0,15.2,30.6,0.0,0.0
2023-05-01,41.0,11.5,32.5,0.0,0.0
2023-06-01,42.75,3.5,26.75,0.0,0.0
2023-07-01,46.6,8.8,38.2,0.0,0.0
2023-08-01,49.5,14.25,39.0,0.0,0.0
2023-09-01,38.75,10.75,36.25,0.0,0.0
2023-10-01,41.0,12.2,30.8,0.0,0.0
2023-11-01,34.0,14.75,29.5,0.0,0.0
2023-12-01,28.8,13.4,28.0,0.0,0.0
2024-01-01,38.25,12.25,29.25,0.0,0.0
2024-02-01,34.25,0.0,28.0,0.0,0.0
2024-03-01,28.4,18.2,31.4,0.0,0.0
2024-04-01,31.25,11.75,32.25,0.0,0.0
2024-05-01,35.0,18.75,34.75,0.0,0.0
2024-06-01,34.0,13.8,34.2,0.0,0.0
2024-07-01,33.25,23.75,34.5,0.0,9.25
2024-08-01,25.0,12.0,32.0,0.0,0.0
2024-09-01,28.0,22.2,40.6,0.0,0.0
2024-10-01,13.5,21.25,39.75,0.0,0.0
2024-11-01,23.25,24.5,38.25,0.0,0.0
2024-12-01,16.2,13.6,33.8,0.0,0.0
2025-01-01,37.25,26.0,25.25,0.0,0.0
2025-02-01,32.5,28.0,30.0,0.0,0.0
2025-03-01,34.4,25.0,36.6,0.0,0.0
