time [UTC],AYAM,Just Cook,Kailis Brothers (KB),Kikkoman,Lee Kum Kee
2021-08-01,87.0,0.0,0.0,8.0,10.0
2021-09-01,81.5,0.0,0.0,1.75,10.75
2021-10-01,65.0,0.0,0.0,2.2,8.2
2021-11-01,62.75,2.0,0.0,3.75,6.0
2021-12-01,66.25,7.25,0.0,0.0,3.25
2022-01-01,74.0,3.8,0.0,4.0,8.8
2022-02-01,65.75,2.75,0.0,4.25,9.5
2022-03-01,72.0,2.75,0.0,2.75,7.25
2022-04-01,78.25,7.0,0.0,2.5,9.5
2022-05-01,74.8,6.2,0.0,2.2,8.4
2022-06-01,79.5,2.75,0.0,4.0,10.0
2022-07-01,74.6,1.2,0.0,8.0,11.4
2022-08-01,77.25,4.75,0.0,2.25,9.5
2022-09-01,76.0,5.5,0.0,5.5,9.25
2022-10-01,72.2,3.6,0.0,5.8,6.6
2022-11-01,64.75,2.75,0.0,3.0,10.5
2022-12-01,62.75,6.0,0.0,4.0,7.75
2023-01-01,77.0,5.2,0.0,8.6,11.4
2023-02-01,71.0,1.75,0.0,5.5,9.5
2023-03-01,80.0,5.0,0.0,7.5,11.5
2023-04-01,87.8,4.6,0.0,7.2,8.6
2023-05-01,88.5,6.0,0.0,9.0,10.0
2023-06-01,87.75,6.75,0.0,8.25,13.25
2023-07-01,84.8,3.2,0.0,7.4,10.4
2023-08-01,88.5,4.75,0.0,7.75,10.5
2023-09-01,80.25,3.0,2.0,7.75,12.5
2023-10-01,80.4,5.2,0.0,6.8,11.2
2023-11-01,81.0,6.0,0.0,5.5,9.75
2023-12-01,75.6,5.6,0.0,5.0,8.6
2024-01-01,83.0,2.75,0.0,9.5,12.0
2024-02-01,81.5,4.25,0.0,7.0,14.0
2024-03-01,84.8,2.2,0.0,7.6,9.6
2024-04-01,82.75,6.75,0.0,5.25,13.25
2024-05-01,90.5,3.5,0.0,3.5,14.0
2024-06-01,87.4,5.2,0.0,8.4,14.2
2024-07-01,87.5,3.0,0.0,8.5,16.0
2024-08-01,81.25,4.5,0.0,9.75,13.75
2024-09-01,79.4,6.0,0.0,7.4,13.4
2024-10-01,70.5,3.25,0.0,5.25,13.25
2024-11-01,67.75,5.5,0.0,9.0,12.5
2024-12-01,67.6,3.2,0.0,7.2,9.6
2025-01-01,79.75,4.75,0.0,7.5,17.0
2025-02-01,80.0,6.5,0.0,4.75,15.5
2025-03-01,85.0,6.4,0.0,9.4,11.4
