time [UTC],AYAM,Pandaroo,Roll’d,Urban Eats
2021-08-01,87.0,0.0,0.0,0.0
2021-09-01,81.5,0.0,0.0,1.75
2021-10-01,65.0,0.0,0.0,3.6
2021-11-01,62.75,0.0,0.0,0.0
2021-12-01,66.25,0.0,0.0,1.5
2022-01-01,74.0,0.0,0.0,1.4
2022-02-01,65.75,0.0,0.0,2.25
2022-03-01,72.0,1.0,0.0,1.0
2022-04-01,78.25,3.0,0.0,3.0
2022-05-01,74.8,0.0,0.0,3.2
2022-06-01,79.5,0.0,0.0,1.75
2022-07-01,74.6,2.4,0.0,0.0
2022-08-01,77.25,1.5,0.0,1.25
2022-09-01,76.0,3.75,0.0,5.0
2022-10-01,72.2,1.2,0.0,1.0
2022-11-01,64.75,0.0,0.0,0.0
2022-12-01,62.75,2.75,0.0,0.0
2023-01-01,77.0,3.4,0.0,1.0
2023-02-01,71.0,1.25,0.0,2.25
2023-03-01,80.0,0.0,0.0,2.75
2023-04-01,87.8,2.6,0.0,1.2
2023-05-01,88.5,0.0,0.0,0.0
2023-06-01,87.75,2.75,0.0,3.0
2023-07-01,84.8,2.2,0.0,1.2
2023-08-01,88.5,1.25,0.0,3.75
2023-09-01,80.25,2.75,0.0,1.5
2023-10-01,80.4,2.2,0.0,4.8
2023-11-01,81.0,1.25,0.0,2.75
2023-12-01,75.6,0.0,0.0,3.4
2024-01-01,83.0,3.0,0.0,4.75
2024-02-01,81.5,1.5,0.0,2.0
2024-03-01,84.8,2.6,0.0,2.4
2024-04-01,82.75,1.25,0.0,3.5
2024-05-01,90.5,1.5,0.0,6.0
2024-06-01,87.4,3.2,0.0,3.6
2024-07-01,87.5,0.0,0.0,6.5
2024-08-01,81.25,2.5,0.0,7.0
2024-09-01,79.4,1.4,0.0,4.8
2024-10-01,70.5,0.0,0.0,0.0
2024-11-01,67.75,1.5,0.0,3.25
2024-12-01,67.6,1.4,0.0,1.2
2025-01-01,79.75,3.0,0.0,1.75
2025-02-01,80.0,5.75,0.0,2.75
2025-03-01,85.0,0.0,0.0,1.0
