category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Asian Foods & Condiments,AYAM,2021-08-01,22.0,22.0,0,1.0,
Asian Foods & Condiments,AYAM,2021-09-01,25.25,25.25,0,1.0,
Asian Foods & Condiments,AYAM,2021-10-01,30.4,30.4,0,1.0,
Asian Foods & Condiments,AYAM,2021-11-01,30.25,30.25,0,1.0,
Asian Foods & Condiments,AYAM,2021-12-01,24.5,24.5,0,1.0,
Asian Foods & Condiments,AYAM,2022-01-01,29.0,29.0,0,1.0,
Asian Foods & Condiments,AYAM,2022-02-01,27.25,27.25,0,1.0,
Asian Foods & Condiments,AYAM,2022-03-01,28.5,28.5,0,1.0,
Asian Foods & Condiments,AYAM,2022-04-01,30.25,30.25,0,1.0,
Asian Foods & Condiments,AYAM,2022-05-01,33.6,33.6,0,1.0,
Asian Foods & Condiments,AYAM,2022-06-01,39.25,39.25,0,1.0,
Asian Foods & Condiments,AYAM,2022-07-01,32.6,32.6,0,1.0,
Asian Foods & Condiments,AYAM,2022-08-01,30.0,30.0,0,1.0,
Asian Foods & Condiments,AYAM,2022-09-01,23.0,23.0,0,1.0,
Asian Foods & Condiments,AYAM,2022-10-01,26.0,26.0,0,1.0,
Asian Foods & Condiments,AYAM,2022-11-01,23.25,23.25,0,1.0,
Asian Foods & Condiments,AYAM,2022-12-01,19.25,19.25,0,1.0,
Asian Foods & Condiments,AYAM,2023-01-01,31.2,31.2,0,1.0,
Asian Foods & Condiments,AYAM,2023-02-01,21.25,21.25,0,1.0,
Asian Foods & Condiments,AYAM,2023-03-01,35.25,35.25,0,1.0,
Asian Foods & Condiments,AYAM,2023-04-01,47.0,47.0,0,1.0,
Asian Foods & Condiments,AYAM,2023-05-01,41.0,41.0,0,1.0,
Asian Foods & Condiments,AYAM,2023-06-01,42.75,42.75,0,1.0,
Asian Foods & Condiments,AYAM,2023-07-01,46.6,46.6,0,1.0,
Asian Foods & Condiments,AYAM,2023-08-01,49.5,49.5,0,1.0,
Asian Foods & Condiments,AYAM,2023-09-01,38.75,38.75,0,1.0,
Asian Foods & Condiments,AYAM,2023-10-01,41.0,41.0,0,1.0,
Asian Foods & Condiments,AYAM,2023-11-01,34.0,34.0,0,1.0,
Asian Foods & Condiments,AYAM,2023-12-01,28.8,28.8,0,1.0,
Asian Foods & Condiments,AYAM,2024-01-01,38.25,38.25,0,1.0,
Asian Foods & Condiments,AYAM,2024-02-01,34.25,34.25,0,1.0,
Asian Foods & Condiments,AYAM,2024-03-01,28.4,28.4,0,1.0,
Asian Foods & Condiments,AYAM,2024-04-01,31.25,31.25,0,1.0,
Asian Foods & Condiments,AYAM,2024-05-01,35.0,35.0,0,1.0,
Asian Foods & Condiments,AYAM,2024-06-01,34.0,34.0,0,1.0,
Asian Foods & Condiments,AYAM,2024-07-01,33.25,33.25,0,1.0,
Asian Foods & Condiments,AYAM,2024-08-01,25.0,25.0,0,1.0,
Asian Foods & Condiments,AYAM,2024-09-01,28.0,28.0,0,1.0,
Asian Foods & Condiments,AYAM,2024-10-01,13.5,13.5,0,1.0,
Asian Foods & Condiments,AYAM,2024-11-01,23.25,23.25,0,1.0,
Asian Foods & Condiments,AYAM,2024-12-01,16.2,16.2,0,1.0,
Asian Foods & Condiments,AYAM,2025-01-01,37.25,37.25,0,1.0,
Asian Foods & Condiments,AYAM,2025-02-01,32.5,32.5,0,1.0,
Asian Foods & Condiments,AYAM,2025-03-01,34.4,34.4,0,1.0,
Asian Foods & Condiments,Bibigo,2021-08-01,0.0,0.0,0,1.0,
Asian Foods & Condiments,Bibigo,2021-09-01,0.0,0.0,0,1.0,
Asian Foods & Condiments,Bibigo,2021-10-01,3.8,3.8,0,1.0,
Asian Foods & Condiments,Bibigo,2021-11-01,0.0,0.0,0,1.0,
Asian Foods & Condiments,Bibigo,2021-12-01,0.0,0.0,0,1.0,
Asian Foods & Condiments,Bibigo,2022-01-01,0.0,0.0,0,1.0,
