time [UTC],Spotify,Mamamia,SXM Podcasts,Schwartz Media,SoundCloud
2021-08-01,19.0,1.0,0.0,0.0,2.0
2021-09-01,17.25,1.0,0.0,0.0,2.75
2021-10-01,18.0,1.0,0.0,0.0,3.0
2021-11-01,25.5,1.0,0.0,0.0,3.0
2021-12-01,20.75,1.0,0.0,0.0,2.5
2022-01-01,23.6,1.0,0.0,0.0,3.0
2022-02-01,24.25,1.0,0.0,0.0,3.0
2022-03-01,23.5,1.0,0.0,0.0,3.5
2022-04-01,22.75,1.0,0.0,0.0,3.5
2022-05-01,22.6,1.0,0.0,0.0,3.6
2022-06-01,24.75,1.0,0.0,0.0,3.5
2022-07-01,23.4,1.0,0.0,0.0,3.2
2022-08-01,25.0,1.0,0.0,0.0,3.25
2022-09-01,25.5,1.0,0.0,0.0,3.0
2022-10-01,27.2,1.0,0.0,0.0,3.0
2022-11-01,35.5,1.0,0.0,0.0,3.0
2022-12-01,27.0,1.0,0.0,0.0,3.0
2023-01-01,25.0,1.0,0.0,0.0,3.0
2023-02-01,27.25,1.0,0.0,0.0,3.75
2023-03-01,26.75,1.0,0.0,0.0,3.0
2023-04-01,27.6,1.0,0.0,0.0,2.8
2023-05-01,26.5,1.0,0.0,0.0,3.0
2023-06-01,25.75,1.0,0.0,0.0,3.0
2023-07-01,25.8,1.0,0.0,0.0,2.8
2023-08-01,25.0,1.0,0.0,0.0,3.0
2023-09-01,25.25,1.0,0.0,0.0,2.75
2023-10-01,27.6,1.0,0.0,0.0,2.8
2023-11-01,32.75,1.0,0.0,0.0,3.0
2023-12-01,25.0,1.0,0.0,0.0,2.8
2024-01-01,23.5,1.0,0.0,0.0,2.75
2024-02-01,28.25,1.0,0.0,0.0,3.0
2024-03-01,27.4,1.0,0.0,0.0,3.0
2024-04-01,27.25,1.0,0.0,0.0,3.0
2024-05-01,28.25,1.0,0.0,0.0,3.0
2024-06-01,25.0,1.0,0.0,0.0,2.8
2024-07-01,24.75,1.0,0.0,0.0,2.5
2024-08-01,26.75,1.0,0.0,0.0,3.0
2024-09-01,25.8,0.6,0.0,0.0,2.6
2024-10-01,27.5,1.0,0.0,0.0,3.0
2024-11-01,32.0,1.0,0.0,0.0,2.75
2024-12-01,42.0,1.0,0.0,0.0,2.6
2025-01-01,25.0,1.0,0.0,0.0,2.5
2025-02-01,30.5,1.0,0.0,0.0,2.75
2025-03-01,29.0,1.0,0.0,0.0,3.0
