time [UTC],Uncle Tobys,Blue Frog Breakfast,Brookfarm,Carman's,Farmer Jo
2021-08-01,61.0,0.0,0.0,12.0,0.0
2021-09-01,63.0,0.0,0.0,10.75,0.0
2021-10-01,57.6,0.0,2.4,11.0,0.0
2021-11-01,51.0,0.0,0.0,9.0,2.5
2021-12-01,40.0,0.0,0.0,0.0,0.0
2022-01-01,53.8,0.0,3.8,12.2,4.2
2022-02-01,54.5,0.0,2.0,21.75,1.75
2022-03-01,63.25,0.0,2.5,19.5,0.0
2022-04-01,61.75,0.0,1.75,21.0,0.0
2022-05-01,69.8,0.0,11.0,21.0,1.6
2022-06-01,77.0,0.0,2.75,20.5,0.0
2022-07-01,82.4,0.0,5.6,22.4,0.0
2022-08-01,80.25,0.0,2.25,24.5,0.0
2022-09-01,66.0,0.0,2.75,22.25,7.75
2022-10-01,65.8,0.0,1.8,24.6,0.0
2022-11-01,56.25,0.0,4.0,17.0,0.0
2022-12-01,48.25,0.0,0.0,16.5,0.0
2023-01-01,61.2,1.6,5.4,23.8,3.4
2023-02-01,57.25,0.0,9.25,28.75,0.0
2023-03-01,59.25,0.0,2.0,26.75,2.0
2023-04-01,69.0,0.0,6.8,24.4,2.6
2023-05-01,76.25,0.0,4.75,28.25,0.0
2023-06-01,77.0,0.0,9.25,24.75,0.0
2023-07-01,79.0,2.0,7.0,29.0,0.0
2023-08-01,64.5,0.0,2.0,30.5,0.0
2023-09-01,61.75,0.0,7.5,31.25,0.0
2023-10-01,61.8,0.0,6.2,30.4,1.6
2023-11-01,54.5,0.0,3.0,24.75,0.0
2023-12-01,46.0,0.0,1.8,21.0,0.0
2024-01-01,58.25,0.0,0.0,32.0,0.0
2024-02-01,56.25,0.0,3.25,32.25,0.0
2024-03-01,58.4,0.0,5.6,26.4,0.0
2024-04-01,74.5,0.0,0.0,30.5,5.75
2024-05-01,71.5,0.0,6.25,35.5,5.75
2024-06-01,79.6,0.0,2.8,29.4,0.0
2024-07-01,80.0,0.0,4.75,28.0,0.0
2024-08-01,68.5,0.0,4.5,34.0,2.25
2024-09-01,67.4,0.0,2.2,38.2,0.0
2024-10-01,61.5,0.0,7.75,37.75,0.0
2024-11-01,56.5,0.0,0.0,30.25,0.0
2024-12-01,48.0,0.0,3.0,23.4,0.0
2025-01-01,72.5,0.0,2.5,34.25,0.0
2025-02-01,77.0,0.0,0.0,45.75,0.0
2025-03-01,74.2,0.0,3.6,35.6,0.0
