time [UTC],Uncle Tobys,Morning Sun,Pure Delish,Sonoma Bakery
2021-08-01,61.0,27.0,0.0,0.0
2021-09-01,63.0,43.0,0.0,6.0
2021-10-01,57.6,34.8,0.0,5.2
2021-11-01,51.0,35.75,0.0,0.0
2021-12-01,40.0,27.5,0.0,12.0
2022-01-01,53.8,32.4,0.0,7.0
2022-02-01,54.5,32.25,0.0,8.25
2022-03-01,63.25,27.5,0.0,4.75
2022-04-01,61.75,34.5,0.0,13.25
2022-05-01,69.8,33.8,0.0,3.6
2022-06-01,77.0,33.0,0.0,12.75
2022-07-01,82.4,26.8,0.0,9.4
2022-08-01,80.25,31.5,0.0,11.25
2022-09-01,66.0,31.75,0.0,12.75
2022-10-01,65.8,33.2,0.0,10.6
2022-11-01,56.25,33.5,0.0,7.5
2022-12-01,48.25,33.0,0.0,16.0
2023-01-01,61.2,34.6,0.0,14.0
2023-02-01,57.25,28.25,0.0,11.25
2023-03-01,59.25,33.0,0.0,11.25
2023-04-01,69.0,32.8,0.0,13.6
2023-05-01,76.25,28.0,0.0,7.5
2023-06-01,77.0,27.25,0.0,8.75
2023-07-01,79.0,29.0,0.0,8.8
2023-08-01,64.5,30.25,0.0,2.5
2023-09-01,61.75,32.25,0.0,3.0
2023-10-01,61.8,33.4,0.0,6.4
2023-11-01,54.5,27.25,0.0,10.0
2023-12-01,46.0,26.4,0.0,15.0
2024-01-01,58.25,32.0,0.0,11.75
2024-02-01,56.25,30.5,0.0,2.75
2024-03-01,58.4,30.2,0.0,10.2
2024-04-01,74.5,29.5,0.0,3.75
2024-05-01,71.5,28.75,2.25,2.75
2024-06-01,79.6,25.4,0.0,6.0
2024-07-01,80.0,24.75,0.0,12.5
2024-08-01,68.5,29.0,0.0,7.75
2024-09-01,67.4,31.2,0.0,10.0
2024-10-01,61.5,30.75,0.0,5.25
2024-11-01,56.5,26.5,0.0,10.25
2024-12-01,48.0,25.8,0.0,6.2
2025-01-01,72.5,29.0,0.0,2.25
2025-02-01,77.0,33.25,0.0,2.75
2025-03-01,74.2,26.2,0.0,4.2
