time [UTC],Starbucks,Cafe 63,Gloria Jeans,Jamaica Blue,Krispy Kreme
2021-08-01,35.0,9.0,0.0,2.0,33.0
2021-09-01,37.5,7.75,0.0,2.75,41.75
2021-10-01,39.0,7.2,0.0,3.0,30.0
2021-11-01,41.0,8.0,0.0,3.5,28.75
2021-12-01,50.0,10.5,0.0,4.0,37.75
2022-01-01,38.8,7.4,0.0,2.6,24.4
2022-02-01,40.0,7.5,0.0,3.5,25.25
2022-03-01,40.75,7.75,0.0,2.75,24.25
2022-04-01,46.5,10.5,0.0,3.5,36.5
2022-05-01,41.8,10.0,0.0,3.6,34.2
2022-06-01,43.25,8.25,0.0,3.5,32.0
2022-07-01,49.0,8.2,0.0,3.2,34.0
2022-08-01,47.5,9.0,0.0,3.0,30.0
2022-09-01,48.75,8.5,0.0,4.0,29.0
2022-10-01,47.4,8.0,0.0,3.4,26.2
2022-11-01,51.75,7.5,0.0,3.5,23.5
2022-12-01,54.5,9.5,0.0,3.75,35.75
2023-01-01,47.6,8.6,0.0,3.4,21.8
2023-02-01,44.25,8.0,0.0,3.25,23.5
2023-03-01,45.75,7.0,0.0,3.25,23.75
2023-04-01,52.8,10.0,0.0,3.6,31.4
2023-05-01,47.25,9.25,0.0,3.75,36.25
2023-06-01,46.75,8.0,0.0,3.25,28.75
2023-07-01,50.2,9.2,0.2,3.2,30.2
2023-08-01,49.0,9.75,0.0,3.25,32.5
2023-09-01,55.0,9.5,0.25,3.0,41.75
2023-10-01,61.6,8.4,0.0,3.2,30.0
2023-11-01,60.75,8.25,0.25,3.75,30.75
2023-12-01,63.2,11.0,0.2,3.6,31.4
2024-01-01,50.0,8.75,0.25,3.25,21.0
2024-02-01,43.5,8.5,0.25,3.0,28.0
2024-03-01,47.2,9.2,0.0,3.6,24.8
2024-04-01,44.75,9.25,0.0,3.5,25.25
2024-05-01,43.5,10.0,0.0,3.25,26.0
2024-06-01,40.8,8.0,0.0,2.6,30.0
2024-07-01,43.75,8.75,0.0,3.75,27.25
2024-08-01,46.5,8.75,0.0,4.0,24.75
2024-09-01,51.4,9.0,0.0,3.2,32.0
2024-10-01,67.0,8.75,0.0,3.5,23.5
2024-11-01,63.25,7.5,0.0,4.0,27.25
2024-12-01,58.8,10.0,0.4,3.8,27.6
2025-01-01,49.5,8.5,0.25,3.25,19.75
2025-02-01,47.75,8.0,0.0,3.0,28.75
2025-03-01,52.4,8.2,0.0,2.8,24.2
