time [UTC],Starbucks,The Coffee Club,Zarraffa's
2021-08-01,35.0,20.0,0.0
2021-09-01,37.5,19.5,0.0
2021-10-01,39.0,23.4,0.0
2021-11-01,41.0,24.25,0.0
2021-12-01,50.0,31.75,0.0
2022-01-01,38.8,20.6,0.0
2022-02-01,40.0,20.75,0.0
2022-03-01,40.75,21.75,0.0
2022-04-01,46.5,27.0,0.0
2022-05-01,41.8,23.6,0.0
2022-06-01,43.25,24.0,0.0
2022-07-01,49.0,23.8,0.0
2022-08-01,47.5,22.0,0.0
2022-09-01,48.75,24.75,0.0
2022-10-01,47.4,21.6,0.0
2022-11-01,51.75,21.0,0.0
2022-12-01,54.5,25.25,0.0
2023-01-01,47.6,23.2,0.0
2023-02-01,44.25,20.25,0.0
2023-03-01,45.75,20.25,0.0
2023-04-01,52.8,22.8,0.0
2023-05-01,47.25,20.75,0.0
2023-06-01,46.75,18.5,0.0
2023-07-01,50.2,19.0,0.0
2023-08-01,49.0,18.5,0.0
2023-09-01,55.0,18.5,0.0
2023-10-01,61.6,17.6,0.0
2023-11-01,60.75,18.0,0.0
2023-12-01,63.2,22.4,0.0
2024-01-01,50.0,19.25,0.0
2024-02-01,43.5,18.25,0.0
2024-03-01,47.2,18.2,0.0
2024-04-01,44.75,18.75,0.0
2024-05-01,43.5,18.5,0.0
2024-06-01,40.8,18.4,0.0
2024-07-01,43.75,21.75,0.0
2024-08-01,46.5,17.5,0.0
2024-09-01,51.4,17.0,0.0
2024-10-01,67.0,16.25,0.0
2024-11-01,63.25,15.75,0.25
2024-12-01,58.8,19.0,0.0
2025-01-01,49.5,17.25,0.0
2025-02-01,47.75,15.25,0.0
2025-03-01,52.4,14.8,0.0
