time [UTC],AAMI,Bingle,Budget Direct,Huddle,Koba
2021-08-01,47.0,0.0,30.0,1.0,3.0
2021-09-01,58.5,0.0,32.5,1.0,3.0
2021-10-01,58.8,0.0,36.6,0.4,2.8
2021-11-01,63.75,0.0,41.75,1.5,3.25
2021-12-01,58.5,0.0,35.75,1.0,3.5
2022-01-01,74.0,0.0,50.6,0.8,3.6
2022-02-01,80.0,0.25,57.0,1.25,4.0
2022-03-01,77.75,0.0,52.75,1.25,3.5
2022-04-01,69.5,0.0,47.25,1.0,4.25
2022-05-01,74.6,0.0,51.8,1.8,3.4
2022-06-01,76.5,0.0,53.5,1.75,4.0
2022-07-01,74.4,0.0,53.0,1.4,3.0
2022-08-01,69.5,0.0,48.75,1.5,3.5
2022-09-01,72.25,0.0,47.75,1.0,3.25
2022-10-01,74.4,3.0,53.6,1.0,3.8
2022-11-01,72.0,6.5,53.5,1.25,3.25
2022-12-01,68.75,6.25,49.5,0.5,2.75
2023-01-01,79.6,7.8,62.4,2.4,3.4
2023-02-01,80.0,9.0,62.5,3.0,3.0
2023-03-01,77.0,11.5,59.25,1.75,2.75
2023-04-01,80.0,10.0,59.4,1.2,3.0
2023-05-01,83.25,11.5,66.5,1.75,3.5
2023-06-01,87.25,12.25,65.25,1.5,3.25
2023-07-01,81.0,13.2,62.0,1.4,3.8
2023-08-01,79.0,10.75,59.5,1.5,3.0
2023-09-01,79.5,11.25,64.25,1.5,2.75
2023-10-01,79.8,10.6,62.0,1.4,3.4
2023-11-01,82.75,10.75,64.0,1.5,2.75
2023-12-01,80.4,10.8,64.6,0.8,3.0
2024-01-01,88.75,10.0,72.0,1.5,3.25
2024-02-01,87.75,10.75,74.5,2.0,3.25
2024-03-01,86.2,10.4,66.0,1.6,2.8
2024-04-01,86.0,13.5,67.75,1.75,3.0
2024-05-01,84.75,13.25,69.0,1.25,4.0
2024-06-01,84.4,13.2,69.2,1.8,3.6
2024-07-01,82.0,11.75,68.75,1.25,3.5
2024-08-01,76.75,10.75,64.25,1.75,3.25
2024-09-01,76.6,10.0,68.0,1.4,3.2
2024-10-01,73.75,10.25,63.5,1.25,3.0
2024-11-01,73.5,9.5,61.5,1.5,2.5
2024-12-01,68.8,10.4,61.4,0.6,2.8
2025-01-01,85.5,13.25,73.5,0.75,3.0
2025-02-01,76.0,11.75,69.0,1.25,2.75
2025-03-01,75.8,11.6,72.2,1.4,2.8
