time [UTC],AAMI,Youi
2021-08-01,47.0,0.0
2021-09-01,58.5,0.0
2021-10-01,58.8,0.0
2021-11-01,63.75,0.0
2021-12-01,58.5,0.25
2022-01-01,74.0,0.0
2022-02-01,80.0,0.0
2022-03-01,77.75,0.0
2022-04-01,69.5,0.0
2022-05-01,74.6,0.0
2022-06-01,76.5,0.0
2022-07-01,74.4,0.6
2022-08-01,69.5,21.5
2022-09-01,72.25,19.75
2022-10-01,74.4,15.8
2022-11-01,72.0,13.5
2022-12-01,68.75,8.5
2023-01-01,79.6,11.2
2023-02-01,80.0,13.0
2023-03-01,77.0,21.25
2023-04-01,80.0,22.0
2023-05-01,83.25,24.0
2023-06-01,87.25,25.25
2023-07-01,81.0,24.6
2023-08-01,79.0,23.0
2023-09-01,79.5,23.25
2023-10-01,79.8,23.4
2023-11-01,82.75,22.5
2023-12-01,80.4,24.8
2024-01-01,88.75,30.5
2024-02-01,87.75,30.25
2024-03-01,86.2,27.0
2024-04-01,86.0,27.25
2024-05-01,84.75,30.0
2024-06-01,84.4,28.6
2024-07-01,82.0,30.0
2024-08-01,76.75,29.5
2024-09-01,76.6,29.8
2024-10-01,73.75,30.5
2024-11-01,73.5,28.5
2024-12-01,68.8,29.4
2025-01-01,85.5,38.5
2025-02-01,76.0,37.25
2025-03-01,75.8,35.8
