category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Car Insurance,AAMI,2021-08-01,40.0,40.0,0,1.0,
Car Insurance,AAMI,2021-09-01,49.25,49.25,0,1.0,
Car Insurance,AAMI,2021-10-01,49.2,49.2,0,1.0,
Car Insurance,AAMI,2021-11-01,56.25,56.25,0,1.0,
Car Insurance,AAMI,2021-12-01,52.25,52.25,0,1.0,
Car Insurance,AAMI,2022-01-01,66.0,66.0,0,1.0,
Car Insurance,AAMI,2022-02-01,76.25,76.25,0,1.0,
Car Insurance,AAMI,2022-03-01,74.5,74.5,0,1.0,
Car Insurance,AAMI,2022-04-01,67.25,67.25,0,1.0,
Car Insurance,AAMI,2022-05-01,68.8,68.8,0,1.0,
Car Insurance,AAMI,2022-06-01,68.0,68.0,0,1.0,
Car Insurance,AAMI,2022-07-01,69.0,69.0,0,1.0,
Car Insurance,AAMI,2022-08-01,63.75,63.75,0,1.0,
Car Insurance,AAMI,2022-09-01,70.5,70.5,0,1.0,
Car Insurance,AAMI,2022-10-01,69.2,69.2,0,1.0,
Car Insurance,AAMI,2022-11-01,67.5,67.5,0,1.0,
Car Insurance,AAMI,2022-12-01,66.0,66.0,0,1.0,
Car Insurance,AAMI,2023-01-01,76.8,76.8,0,1.0,
Car Insurance,AAMI,2023-02-01,74.25,74.25,0,1.0,
Car Insurance,AAMI,2023-03-01,72.0,72.0,0,1.0,
Car Insurance,AAMI,2023-04-01,75.2,75.2,0,1.0,
Car Insurance,AAMI,2023-05-01,75.5,75.5,0,1.0,
Car Insurance,AAMI,2023-06-01,82.25,82.25,0,1.0,
Car Insurance,AAMI,2023-07-01,81.0,81.0,0,1.0,
Car Insurance,AAMI,2023-08-01,79.75,79.75,0,1.0,
Car Insurance,AAMI,2023-09-01,74.0,74.0,0,1.0,
Car Insurance,AAMI,2023-10-01,77.4,77.4,0,1.0,
Car Insurance,AAMI,2023-11-01,83.25,83.25,0,1.0,
Car Insurance,AAMI,2023-12-01,75.8,75.8,0,1.0,
Car Insurance,AAMI,2024-01-01,79.25,79.25,0,1.0,
Car Insurance,AAMI,2024-02-01,82.0,82.0,0,1.0,
Car Insurance,AAMI,2024-03-01,80.0,80.0,0,1.0,
Car Insurance,AAMI,2024-04-01,81.5,81.5,0,1.0,
Car Insurance,AAMI,2024-05-01,78.75,78.75,0,1.0,
Car Insurance,AAMI,2024-06-01,78.6,78.6,0,1.0,
Car Insurance,AAMI,2024-07-01,76.5,76.5,0,1.0,
Car Insurance,AAMI,2024-08-01,68.25,68.25,0,1.0,
Car Insurance,AAMI,2024-09-01,76.2,76.2,0,1.0,
Car Insurance,AAMI,2024-10-01,66.0,66.0,0,1.0,
Car Insurance,AAMI,2024-11-01,67.5,67.5,0,1.0,
Car Insurance,AAMI,2024-12-01,63.4,63.4,0,1.0,
Car Insurance,AAMI,2025-01-01,76.25,76.25,0,1.0,
Car Insurance,AAMI,2025-02-01,68.5,68.5,0,1.0,
Car Insurance,AAMI,2025-03-01,69.8,69.8,0,1.0,
Car Insurance,Bingle,2021-08-01,7.0,7.0,0,1.0,
Car Insurance,Bingle,2021-09-01,8.75,8.75,0,1.0,
Car Insurance,Bingle,2021-10-01,9.2,9.2,0,1.0,
Car Insurance,Bingle,2021-11-01,9.25,9.25,0,1.0,
Car Insurance,Bingle,2021-12-01,8.25,8.25,0,1.0,
Car Insurance,Bingle,2022-01-01,10.2,10.2,0,1.0,
Car Insurance,Bingle,2022-02-01,11.75,11.75,0,1.0,
Car Insurance,Bingle,2022-03-01,11.0,11.0,0,1.0,
Car Insurance,Bingle,2022-04-01,12.0,12.0,0,1.0,
Car Insurance,Bingle,2022-05-01,11.0,11.0,0,1.0,
Car Insurance,Bingle,2022-06-01,11.25,11.25,0,1.0,
Car Insurance,Bingle,2022-07-01,10.8,10.8,0,1.0,
Car Insurance,Bingle,2022-08-01,11.25,11.25,0,1.0,
