time [UTC],Red Rock Deli,Boulder,Burts,Kettle,Proper Crisps
2021-08-01,0.0,3.0,0.0,25.0,0.0
2021-09-01,0.0,3.0,0.0,30.0,0.0
2021-10-01,0.0,2.4,0.0,38.8,0.0
2021-11-01,0.0,2.5,0.0,38.25,0.0
2021-12-01,0.0,3.25,0.0,48.25,0.0
2022-01-01,0.0,3.0,0.0,42.4,0.0
2022-02-01,0.0,2.25,0.0,40.5,0.0
2022-03-01,0.0,2.5,0.0,41.25,0.0
2022-04-01,0.0,3.5,0.0,47.5,0.0
2022-05-01,0.0,4.2,0.0,51.8,0.0
2022-06-01,0.0,3.75,0.25,55.75,0.25
2022-07-01,0.0,3.6,0.0,54.0,0.0
2022-08-01,0.0,2.75,0.0,52.0,0.0
2022-09-01,0.0,3.25,0.0,46.75,0.0
2022-10-01,0.0,3.2,0.0,43.4,0.0
2022-11-01,0.0,2.75,0.0,50.5,0.0
2022-12-01,0.0,2.5,0.0,59.5,0.0
2023-01-01,0.0,3.2,0.0,47.4,0.0
2023-02-01,0.0,2.75,0.0,41.0,0.0
2023-03-01,0.0,3.0,0.0,45.0,0.0
2023-04-01,0.0,3.8,0.0,53.0,0.0
2023-05-01,0.0,3.75,0.0,55.25,0.0
2023-06-01,0.0,3.25,0.0,58.5,0.25
2023-07-01,0.0,4.2,0.0,52.2,0.2
2023-08-01,0.0,3.5,0.0,50.75,0.0
2023-09-01,0.0,3.75,0.0,47.5,0.0
2023-10-01,0.0,3.2,0.0,53.0,0.0
2023-11-01,0.0,3.5,0.0,67.0,0.0
2023-12-01,0.0,3.4,0.0,70.6,0.0
2024-01-01,0.0,3.5,0.0,53.25,0.0
2024-02-01,0.0,3.75,0.0,44.0,0.0
2024-03-01,0.0,2.8,0.0,52.2,0.0
2024-04-01,0.0,3.25,0.0,62.0,0.0
2024-05-01,0.0,3.75,0.0,60.75,0.0
2024-06-01,0.0,3.6,0.0,64.0,0.0
2024-07-01,0.0,2.75,0.0,64.75,0.0
2024-08-01,0.0,5.25,0.0,56.5,0.0
2024-09-01,0.0,4.2,0.0,59.4,0.0
2024-10-01,0.0,5.0,0.0,57.5,0.25
2024-11-01,0.0,4.25,0.0,68.5,0.0
2024-12-01,0.0,3.6,0.0,74.0,0.2
2025-01-01,0.0,3.25,0.0,59.25,0.0
2025-02-01,0.0,4.0,0.0,54.0,0.0
2025-03-01,0.0,3.6,0.0,53.6,0.0
