time [UTC],Cadbury,Darrell Lea,KitKat,Life Savers,Lindt
2021-08-01,32.0,18.0,5.0,0.0,16.0
2021-09-01,26.5,6.5,4.5,1.0,13.0
2021-10-01,23.8,4.0,3.8,1.0,14.0
2021-11-01,28.25,6.5,5.25,0.75,21.75
2021-12-01,33.25,7.25,3.75,0.5,28.75
2022-01-01,21.8,3.2,2.6,1.2,14.2
2022-02-01,28.25,3.5,4.25,1.75,17.25
2022-03-01,40.75,5.75,3.5,3.0,19.5
2022-04-01,60.5,10.25,5.75,2.0,36.5
2022-05-01,28.4,3.8,5.2,2.0,17.6
2022-06-01,34.0,3.0,5.5,1.75,17.25
2022-07-01,32.0,3.8,8.0,1.4,15.8
2022-08-01,31.0,7.25,8.5,1.5,17.25
2022-09-01,26.25,4.5,8.0,1.5,17.0
2022-10-01,28.0,3.8,5.8,1.8,18.2
2022-11-01,33.25,5.5,6.5,1.5,25.75
2022-12-01,38.0,8.0,6.0,1.5,38.25
2023-01-01,24.6,3.2,4.0,1.6,18.2
2023-02-01,27.5,4.0,5.25,1.5,17.5
2023-03-01,41.75,6.5,5.75,1.0,27.25
2023-04-01,46.2,6.8,5.6,1.4,31.0
2023-05-01,29.25,5.0,5.5,1.0,19.0
2023-06-01,30.0,3.75,7.0,2.0,17.75
2023-07-01,30.8,3.6,6.0,1.6,18.2
2023-08-01,32.0,6.25,6.25,1.75,18.25
2023-09-01,27.75,5.5,5.75,1.75,18.25
2023-10-01,30.0,4.8,7.8,1.4,20.4
2023-11-01,35.5,5.5,11.25,1.5,28.0
2023-12-01,39.4,7.2,9.4,1.6,36.2
2024-01-01,27.25,3.75,5.0,2.0,18.25
2024-02-01,31.25,4.75,6.0,1.75,20.5
2024-03-01,63.2,7.8,6.8,2.0,36.4
2024-04-01,29.75,4.25,5.75,1.75,29.75
2024-05-01,28.75,4.5,7.0,1.0,20.75
2024-06-01,30.6,4.0,6.6,1.6,20.6
2024-07-01,31.75,4.25,6.75,1.0,19.5
2024-08-01,33.75,5.75,7.0,1.5,20.25
2024-09-01,33.0,4.6,7.8,1.4,20.8
2024-10-01,33.0,3.75,8.25,2.0,23.75
2024-11-01,36.75,5.25,11.0,1.75,38.5
2024-12-01,45.6,6.8,12.4,2.0,55.8
2025-01-01,32.25,3.0,6.25,1.25,21.25
2025-02-01,32.75,3.75,9.25,1.75,24.25
2025-03-01,44.8,5.0,7.2,1.4,30.0
