time [UTC],Cadbury,Old Gold,Toblerone,Tony's Chocolonely,Whittaker's
2021-08-01,44.0,17.0,17.0,0.0,0.0
2021-09-01,31.75,16.75,11.0,0.0,0.0
2021-10-01,22.8,16.6,8.4,0.0,0.0
2021-11-01,29.0,16.75,13.0,0.0,0.0
2021-12-01,32.0,17.25,28.5,0.0,0.0
2022-01-01,24.6,16.0,11.0,0.0,0.0
2022-02-01,33.25,17.75,7.5,0.0,0.0
2022-03-01,46.75,19.0,7.25,0.0,0.0
2022-04-01,65.5,19.75,9.75,0.0,0.0
2022-05-01,30.6,19.2,8.4,0.0,0.0
2022-06-01,42.0,19.75,10.0,0.0,0.0
2022-07-01,39.4,18.2,9.2,0.0,0.0
2022-08-01,36.0,18.75,14.0,0.0,0.0
2022-09-01,32.0,17.0,11.0,0.0,0.0
2022-10-01,32.8,17.8,11.8,0.0,0.0
2022-11-01,34.0,16.5,16.75,0.0,0.0
2022-12-01,33.5,18.0,32.0,0.0,0.0
2023-01-01,27.4,19.0,12.2,0.0,0.0
2023-02-01,28.75,16.75,10.25,0.0,0.0
2023-03-01,40.5,18.5,15.0,0.0,0.0
2023-04-01,43.6,19.0,12.6,0.0,0.0
2023-05-01,27.25,18.5,9.25,0.25,0.0
2023-06-01,24.75,18.25,10.5,0.0,0.0
2023-07-01,27.6,18.8,10.2,0.0,0.0
2023-08-01,28.0,19.5,13.5,0.0,0.0
2023-09-01,25.0,17.75,11.75,0.0,0.0
2023-10-01,27.8,18.6,10.8,0.0,0.0
2023-11-01,31.25,20.25,17.0,0.0,0.0
2023-12-01,33.4,19.2,30.6,0.0,0.0
2024-01-01,24.75,18.5,10.75,0.0,0.0
2024-02-01,29.75,18.25,10.0,0.0,0.0
2024-03-01,61.8,19.0,11.0,0.0,0.0
2024-04-01,30.25,20.0,8.5,0.0,0.0
2024-05-01,28.5,17.75,9.25,0.0,0.0
2024-06-01,27.2,19.8,7.4,0.0,0.0
2024-07-01,31.25,21.25,9.0,0.0,0.0
2024-08-01,26.25,38.0,12.75,0.0,0.0
2024-09-01,21.8,20.0,10.8,0.0,0.0
2024-10-01,27.0,21.0,10.0,0.0,0.0
2024-11-01,29.25,23.5,14.0,0.0,0.0
2024-12-01,41.8,20.4,28.0,0.0,0.0
2025-01-01,35.75,20.25,11.75,0.0,0.0
2025-02-01,33.0,19.25,8.75,0.0,0.0
2025-03-01,44.6,20.8,8.0,0.0,0.0
