category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Chocolate bars and blocks,Cadbury,2021-08-01,32.0,32.0,0,1.0,
Chocolate bars and blocks,Cadbury,2021-09-01,26.5,26.5,0,1.0,
Chocolate bars and blocks,Cadbury,2021-10-01,23.8,23.8,0,1.0,
Chocolate bars and blocks,Cadbury,2021-11-01,28.25,28.25,0,1.0,
Chocolate bars and blocks,Cadbury,2021-12-01,33.25,33.25,0,1.0,
Chocolate bars and blocks,Cadbury,2022-01-01,21.8,21.8,0,1.0,
Chocolate bars and blocks,Cadbury,2022-02-01,28.25,28.25,0,1.0,
Chocolate bars and blocks,Cadbury,2022-03-01,40.75,40.75,0,1.0,
Chocolate bars and blocks,Cadbury,2022-04-01,60.5,60.5,0,1.0,
Chocolate bars and blocks,Cadbury,2022-05-01,28.4,28.4,0,1.0,
Chocolate bars and blocks,Cadbury,2022-06-01,34.0,34.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-07-01,32.0,32.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-08-01,31.0,31.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-09-01,26.25,26.25,0,1.0,
Chocolate bars and blocks,Cadbury,2022-10-01,28.0,28.0,0,1.0,
Chocolate bars and blocks,Cadbury,2022-11-01,33.25,33.25,0,1.0,
Chocolate bars and blocks,Cadbury,2022-12-01,38.0,38.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-01-01,24.6,24.6,0,1.0,
Chocolate bars and blocks,Cadbury,2023-02-01,27.5,27.5,0,1.0,
Chocolate bars and blocks,Cadbury,2023-03-01,41.75,41.75,0,1.0,
Chocolate bars and blocks,Cadbury,2023-04-01,46.2,46.2,0,1.0,
Chocolate bars and blocks,Cadbury,2023-05-01,29.25,29.25,0,1.0,
Chocolate bars and blocks,Cadbury,2023-06-01,30.0,30.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-07-01,30.8,30.8,0,1.0,
Chocolate bars and blocks,Cadbury,2023-08-01,32.0,32.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-09-01,27.75,27.75,0,1.0,
Chocolate bars and blocks,Cadbury,2023-10-01,30.0,30.0,0,1.0,
Chocolate bars and blocks,Cadbury,2023-11-01,35.5,35.5,0,1.0,
Chocolate bars and blocks,Cadbury,2023-12-01,39.4,39.4,0,1.0,
Chocolate bars and blocks,Cadbury,2024-01-01,27.25,27.25,0,1.0,
Chocolate bars and blocks,Cadbury,2024-02-01,31.25,31.25,0,1.0,
Chocolate bars and blocks,Cadbury,2024-03-01,63.2,63.2,0,1.0,
Chocolate bars and blocks,Cadbury,2024-04-01,29.75,29.75,0,1.0,
Chocolate bars and blocks,Cadbury,2024-05-01,28.75,28.75,0,1.0,
Chocolate bars and blocks,Cadbury,2024-06-01,30.6,30.6,0,1.0,
Chocolate bars and blocks,Cadbury,2024-07-01,31.75,31.75,0,1.0,
Chocolate bars and blocks,Cadbury,2024-08-01,33.75,33.75,0,1.0,
Chocolate bars and blocks,Cadbury,2024-09-01,33.0,33.0,0,1.0,
Chocolate bars and blocks,Cadbury,2024-10-01,33.0,33.0,0,1.0,
Chocolate bars and blocks,Cadbury,2024-11-01,36.75,36.75,0,1.0,
Chocolate bars and blocks,Cadbury,2024-12-01,45.6,45.6,0,1.0,
Chocolate bars and blocks,Cadbury,2025-01-01,32.25,32.25,0,1.0,
