time [UTC],Cadbury,Allens,Darrell Lea Balls,Darrell Lea Bullets,Darrell Lea Twists
2021-08-01,32.0,16.0,0.0,0.0,0.0
2021-09-01,26.5,13.0,0.0,1.5,0.0
2021-10-01,23.8,11.6,0.0,0.0,0.0
2021-11-01,28.25,12.75,0.0,0.0,0.0
2021-12-01,33.25,10.5,0.0,0.0,0.0
2022-01-01,21.8,9.6,0.0,0.0,0.0
2022-02-01,28.25,12.5,0.0,0.0,0.0
2022-03-01,40.75,13.75,0.0,0.0,0.0
2022-04-01,60.5,11.0,0.0,0.0,0.0
2022-05-01,28.4,12.6,0.0,0.0,0.0
2022-06-01,34.0,18.75,0.0,0.0,0.0
2022-07-01,32.0,18.0,0.0,0.0,0.0
2022-08-01,31.0,13.75,0.0,0.0,0.0
2022-09-01,26.25,13.25,0.0,0.0,0.0
2022-10-01,28.0,11.8,0.0,0.4,0.0
2022-11-01,33.25,12.5,0.25,0.0,0.0
2022-12-01,38.0,13.0,0.0,0.0,0.0
2023-01-01,24.6,10.8,0.0,0.2,0.0
2023-02-01,27.5,12.25,0.0,0.0,0.0
2023-03-01,41.75,13.0,0.0,0.0,0.0
2023-04-01,46.2,12.2,0.0,0.2,0.0
2023-05-01,29.25,13.0,0.0,0.0,0.0
2023-06-01,30.0,16.0,0.0,0.0,0.0
2023-07-01,30.8,13.4,0.0,0.2,0.0
2023-08-01,32.0,13.75,0.0,0.25,0.0
2023-09-01,27.75,15.0,0.0,0.25,0.0
2023-10-01,30.0,13.2,0.0,0.0,0.0
2023-11-01,35.5,13.0,0.0,0.5,0.0
2023-12-01,39.4,11.2,0.0,0.2,0.0
2024-01-01,27.25,11.5,0.25,0.0,0.0
2024-02-01,31.25,13.0,0.0,0.0,0.0
2024-03-01,63.2,12.8,0.0,0.0,0.0
2024-04-01,29.75,13.5,0.0,0.0,0.0
2024-05-01,28.75,12.75,0.0,0.0,0.0
2024-06-01,30.6,15.0,0.2,0.0,0.0
2024-07-01,31.75,15.25,0.0,0.0,0.0
2024-08-01,33.75,14.5,0.0,0.25,0.0
2024-09-01,33.0,13.2,0.2,0.0,0.0
2024-10-01,33.0,12.5,0.0,0.0,0.0
2024-11-01,36.75,12.0,0.25,0.25,0.25
2024-12-01,45.6,13.6,0.2,0.0,0.0
2025-01-01,32.25,12.75,0.0,0.0,0.0
2025-02-01,32.75,14.75,0.0,0.25,0.0
2025-03-01,44.8,15.2,0.0,0.0,0.0
