time [UTC],Cadbury,M&M's,Maltesers,Pods
2021-08-01,32.0,0.0,5.0,66.0
2021-09-01,26.5,0.25,3.25,63.0
2021-10-01,23.8,0.2,2.8,57.4
2021-11-01,28.25,0.0,2.75,67.75
2021-12-01,33.25,0.25,4.0,69.5
2022-01-01,21.8,0.2,2.8,57.4
2022-02-01,28.25,0.5,2.75,55.5
2022-03-01,40.75,0.75,2.25,56.25
2022-04-01,60.5,0.75,3.0,60.0
2022-05-01,28.4,0.4,3.0,56.2
2022-06-01,34.0,0.25,3.25,59.25
2022-07-01,32.0,1.0,3.0,61.4
2022-08-01,31.0,0.75,3.0,60.0
2022-09-01,26.25,0.75,3.0,57.5
2022-10-01,28.0,1.2,3.2,56.8
2022-11-01,33.25,1.0,3.25,64.75
2022-12-01,38.0,2.0,4.75,64.25
2023-01-01,24.6,1.2,3.8,58.8
2023-02-01,27.5,0.75,4.0,58.0
2023-03-01,41.75,1.0,6.0,54.75
2023-04-01,46.2,0.8,4.8,58.0
2023-05-01,29.25,0.75,4.25,60.75
2023-06-01,30.0,1.0,4.25,58.25
2023-07-01,30.8,0.8,3.8,56.2
2023-08-01,32.0,0.75,4.25,54.25
2023-09-01,27.75,0.75,3.75,53.0
2023-10-01,30.0,1.0,4.0,54.8
2023-11-01,35.5,1.0,3.75,62.25
2023-12-01,39.4,1.8,5.2,62.8
2024-01-01,27.25,0.25,3.25,57.5
2024-02-01,31.25,0.75,3.25,63.5
2024-03-01,63.2,1.0,4.0,57.0
2024-04-01,29.75,1.0,3.75,59.25
2024-05-01,28.75,0.75,3.5,62.75
2024-06-01,30.6,0.8,3.8,59.8
2024-07-01,31.75,0.75,3.75,59.5
2024-08-01,33.75,1.0,4.25,55.25
2024-09-01,33.0,0.8,3.8,56.0
2024-10-01,33.0,1.0,3.75,53.0
2024-11-01,36.75,1.75,4.75,60.25
2024-12-01,45.6,2.6,5.8,64.4
2025-01-01,32.25,0.75,3.75,57.5
2025-02-01,32.75,1.0,3.75,53.75
2025-03-01,44.8,0.8,4.0,54.2
