time [UTC],Cadbury,Lindt,The Natural Confectionery Co.
2021-08-01,32.0,16.0,0.0
2021-09-01,26.5,13.0,0.0
2021-10-01,23.8,14.0,0.0
2021-11-01,28.25,21.75,0.0
2021-12-01,33.25,28.75,0.0
2022-01-01,21.8,14.2,0.0
2022-02-01,28.25,17.25,0.0
2022-03-01,40.75,19.5,0.0
2022-04-01,60.5,36.5,0.0
2022-05-01,28.4,17.6,0.0
2022-06-01,34.0,17.25,0.0
2022-07-01,32.0,15.8,0.0
2022-08-01,31.0,17.25,0.0
2022-09-01,26.25,17.0,0.0
2022-10-01,28.0,18.2,0.0
2022-11-01,33.25,25.75,0.0
2022-12-01,38.0,38.25,0.0
2023-01-01,24.6,18.2,0.0
2023-02-01,27.5,17.5,0.0
2023-03-01,41.75,27.25,0.0
2023-04-01,46.2,31.0,0.0
2023-05-01,29.25,19.0,0.0
2023-06-01,30.0,17.75,0.0
2023-07-01,30.8,18.2,0.0
2023-08-01,32.0,18.25,0.0
2023-09-01,27.75,18.25,0.0
2023-10-01,30.0,20.4,0.0
2023-11-01,35.5,28.0,0.0
2023-12-01,39.4,36.2,0.0
2024-01-01,27.25,18.25,0.0
2024-02-01,31.25,20.5,0.0
2024-03-01,63.2,36.4,0.0
2024-04-01,29.75,29.75,0.0
2024-05-01,28.75,20.75,0.0
2024-06-01,30.6,20.6,0.0
2024-07-01,31.75,19.5,0.0
2024-08-01,33.75,20.25,0.0
2024-09-01,33.0,20.8,0.0
2024-10-01,33.0,23.75,0.0
2024-11-01,36.75,38.5,0.0
2024-12-01,45.6,55.8,0.0
2025-01-01,32.25,21.25,0.0
2025-02-01,32.75,24.25,0.0
2025-03-01,44.8,30.0,0.0
