time [UTC],Cadbury,Darrell Lea,Ferrero,Lindt,Nestlé
2021-08-01,32.0,18.0,7.0,16.0,0.0
2021-09-01,26.5,6.5,6.25,13.0,0.0
2021-10-01,23.8,4.0,6.0,14.0,0.0
2021-11-01,28.25,6.5,9.75,21.75,0.0
2021-12-01,33.25,7.25,17.75,28.75,0.0
2022-01-01,21.8,3.2,7.2,14.2,0.2
2022-02-01,28.25,3.5,8.0,17.25,0.5
2022-03-01,40.75,5.75,7.5,19.5,0.75
2022-04-01,60.5,10.25,17.0,36.5,1.0
2022-05-01,28.4,3.8,6.6,17.6,0.4
2022-06-01,34.0,3.0,5.75,17.25,0.75
2022-07-01,32.0,3.8,5.6,15.8,1.0
2022-08-01,31.0,7.25,6.5,17.25,0.5
2022-09-01,26.25,4.5,8.0,17.0,0.5
2022-10-01,28.0,3.8,7.0,18.2,1.0
2022-11-01,33.25,5.5,11.5,25.75,0.5
2022-12-01,38.0,8.0,21.5,38.25,1.0
2023-01-01,24.6,3.2,9.0,18.2,0.2
2023-02-01,27.5,4.0,10.0,17.5,0.5
2023-03-01,41.75,6.5,9.5,27.25,0.5
2023-04-01,46.2,6.8,11.6,31.0,0.4
2023-05-01,29.25,5.0,9.25,19.0,1.0
2023-06-01,30.0,3.75,7.25,17.75,0.0
2023-07-01,30.8,3.6,6.8,18.2,0.8
2023-08-01,32.0,6.25,8.0,18.25,0.25
2023-09-01,27.75,5.5,8.0,18.25,0.25
2023-10-01,30.0,4.8,9.2,20.4,0.6
2023-11-01,35.5,5.5,15.0,28.0,0.25
2023-12-01,39.4,7.2,21.2,36.2,0.0
2024-01-01,27.25,3.75,10.5,18.25,0.0
2024-02-01,31.25,4.75,10.25,20.5,0.0
2024-03-01,63.2,7.8,12.6,36.4,0.4
2024-04-01,29.75,4.25,8.25,29.75,0.75
2024-05-01,28.75,4.5,8.25,20.75,0.25
2024-06-01,30.6,4.0,7.6,20.6,0.4
2024-07-01,31.75,4.25,6.75,19.5,0.5
2024-08-01,33.75,5.75,7.25,20.25,0.25
2024-09-01,33.0,4.6,7.6,20.8,0.0
2024-10-01,33.0,3.75,9.0,23.75,0.25
2024-11-01,36.75,5.25,11.75,38.5,0.0
2024-12-01,45.6,6.8,21.6,55.8,0.0
2025-01-01,32.25,3.0,11.25,21.25,0.0
2025-02-01,32.75,3.75,10.75,24.25,0.75
2025-03-01,44.8,5.0,8.6,30.0,0.4
