time [UTC],Cadbury,Tony's Chocolonely,Whittaker's
2021-08-01,32.0,0.0,1.0
2021-09-01,26.5,0.0,0.0
2021-10-01,23.8,0.0,0.0
2021-11-01,28.25,0.0,0.0
2021-12-01,33.25,0.0,0.0
2022-01-01,21.8,0.0,0.0
2022-02-01,28.25,0.25,0.0
2022-03-01,40.75,0.0,0.25
2022-04-01,60.5,0.5,0.0
2022-05-01,28.4,0.2,0.2
2022-06-01,34.0,0.0,0.5
2022-07-01,32.0,0.0,0.4
2022-08-01,31.0,0.25,0.25
2022-09-01,26.25,0.0,0.5
2022-10-01,28.0,0.8,0.8
2022-11-01,33.25,0.75,0.0
2022-12-01,38.0,0.75,0.25
2023-01-01,24.6,0.6,0.4
2023-02-01,27.5,1.0,0.5
2023-03-01,41.75,0.75,0.0
2023-04-01,46.2,0.4,0.2
2023-05-01,29.25,4.25,0.5
2023-06-01,30.0,2.5,0.25
2023-07-01,30.8,1.2,0.4
2023-08-01,32.0,1.25,0.25
2023-09-01,27.75,1.0,0.25
2023-10-01,30.0,1.4,1.0
2023-11-01,35.5,1.75,1.0
2023-12-01,39.4,1.2,0.6
2024-01-01,27.25,1.25,1.0
2024-02-01,31.25,1.75,0.25
2024-03-01,63.2,2.0,0.2
2024-04-01,29.75,1.5,0.25
2024-05-01,28.75,1.0,0.0
2024-06-01,30.6,1.8,0.6
2024-07-01,31.75,1.0,0.25
2024-08-01,33.75,1.0,0.5
2024-09-01,33.0,0.8,0.6
2024-10-01,33.0,0.5,0.5
2024-11-01,36.75,1.75,0.75
2024-12-01,45.6,0.8,0.0
2025-01-01,32.25,1.0,0.25
2025-02-01,32.75,0.5,0.25
2025-03-01,44.8,1.0,0.6
