time [UTC],Vittoria Coffee,Allpress Espresso,Axil,Campos,Coffee Supreme
2021-08-01,31.0,0.0,14.0,75.0,10.0
2021-09-01,30.5,0.0,8.5,56.5,2.5
2021-10-01,23.4,0.0,17.2,48.8,2.2
2021-11-01,26.25,0.0,22.5,61.75,8.0
2021-12-01,25.0,0.0,30.75,63.0,2.5
2022-01-01,25.2,0.0,21.6,59.0,8.6
2022-02-01,25.0,0.0,24.0,46.0,6.75
2022-03-01,28.75,0.0,30.75,56.5,7.75
2022-04-01,39.75,0.0,25.75,54.25,10.0
2022-05-01,34.2,0.0,29.0,60.6,12.2
2022-06-01,28.75,0.0,28.0,74.5,8.5
2022-07-01,26.8,0.0,28.0,65.4,7.8
2022-08-01,30.0,0.0,29.5,70.75,9.75
2022-09-01,31.0,0.0,32.0,65.5,6.75
2022-10-01,37.6,0.0,41.6,68.8,9.8
2022-11-01,35.25,0.0,32.0,73.0,11.75
2022-12-01,28.5,0.0,33.75,76.0,11.75
2023-01-01,36.2,0.0,29.2,74.2,6.0
2023-02-01,33.5,0.0,33.75,64.25,5.75
2023-03-01,31.0,0.0,27.5,63.25,7.75
2023-04-01,53.8,0.0,29.8,66.6,8.6
2023-05-01,41.75,0.0,32.0,64.0,10.0
2023-06-01,38.0,0.0,31.75,86.25,4.75
2023-07-01,42.2,0.0,30.4,71.6,5.8
2023-08-01,41.0,0.0,29.75,66.75,11.25
2023-09-01,38.25,0.0,29.25,74.75,9.5
2023-10-01,34.4,0.0,30.6,62.6,11.0
2023-11-01,40.75,0.0,31.0,80.0,11.5
2023-12-01,38.2,0.0,29.8,76.2,12.4
2024-01-01,37.25,0.0,26.75,62.5,10.25
2024-02-01,42.5,0.0,30.25,64.75,8.5
2024-03-01,41.0,0.0,32.4,68.2,11.0
2024-04-01,39.5,0.0,33.5,76.25,14.0
2024-05-01,36.0,2.0,32.5,67.0,9.25
2024-06-01,44.6,0.0,32.6,76.4,8.4
2024-07-01,46.0,0.0,31.25,77.75,7.75
2024-08-01,46.0,0.0,29.0,77.75,9.25
2024-09-01,46.8,0.0,28.2,75.0,14.6
2024-10-01,45.0,0.0,27.0,69.75,10.75
2024-11-01,61.75,0.0,29.25,76.75,14.75
2024-12-01,49.6,0.0,29.6,84.2,12.4
2025-01-01,60.5,0.0,29.0,69.25,11.75
2025-02-01,44.0,2.25,29.75,74.75,12.5
2025-03-01,50.8,0.0,23.6,80.2,10.4
