time [UTC],Vittoria Coffee,Proud Mary's,Rumble Coffee Roasters,ST. ALI,Sample Coffee
2021-08-01,42.0,0.0,0.0,0.0,0.0
2021-09-01,41.5,0.0,0.0,0.0,0.0
2021-10-01,32.2,0.0,0.0,0.0,2.4
2021-11-01,36.5,0.0,0.0,0.0,0.0
2021-12-01,34.0,0.0,0.0,0.0,4.5
2022-01-01,34.4,0.0,0.0,2.8,0.0
2022-02-01,34.25,0.0,0.0,0.0,3.0
2022-03-01,39.0,0.0,0.0,0.0,2.75
2022-04-01,54.5,0.0,0.0,0.0,5.0
2022-05-01,46.8,0.0,0.0,0.0,4.2
2022-06-01,39.75,0.0,0.0,0.0,3.0
2022-07-01,36.6,0.0,0.0,0.0,0.0
2022-08-01,41.0,0.0,0.0,0.0,5.75
2022-09-01,42.25,0.0,0.0,0.0,3.25
2022-10-01,51.0,0.0,0.0,0.0,2.2
2022-11-01,48.0,0.0,0.0,0.0,2.5
2022-12-01,39.0,0.0,0.0,0.0,3.5
2023-01-01,49.4,0.0,0.0,0.0,2.2
2023-02-01,46.0,0.0,0.0,0.0,4.5
2023-03-01,42.5,0.0,0.0,0.0,3.25
2023-04-01,73.8,0.0,0.0,0.0,0.0
2023-05-01,57.0,0.0,0.0,0.0,0.0
2023-06-01,52.25,0.0,0.0,0.0,3.0
2023-07-01,57.8,0.0,0.0,0.0,4.8
2023-08-01,56.25,0.0,0.0,0.0,0.0
2023-09-01,52.5,0.0,0.0,0.0,4.0
2023-10-01,47.2,2.4,0.0,0.0,5.6
2023-11-01,55.75,0.0,0.0,0.0,2.75
2023-12-01,52.0,0.0,0.0,0.0,0.0
2024-01-01,51.0,0.0,0.0,0.0,0.0
2024-02-01,58.0,0.0,0.0,0.0,0.0
2024-03-01,56.4,0.0,0.0,0.0,0.0
2024-04-01,53.75,0.0,0.0,0.0,0.0
2024-05-01,49.75,0.0,0.0,0.0,8.25
2024-06-01,61.0,0.0,0.0,0.0,0.0
2024-07-01,62.75,0.0,0.0,0.0,4.0
2024-08-01,63.0,0.0,0.0,0.0,2.75
2024-09-01,64.2,0.0,0.0,0.0,5.8
2024-10-01,61.5,0.0,0.0,0.0,3.25
2024-11-01,84.5,0.0,0.0,0.0,9.25
2024-12-01,67.6,0.0,0.0,0.0,0.0
2025-01-01,82.75,0.0,0.0,0.0,0.0
2025-02-01,60.0,0.0,0.0,0.0,0.0
2025-03-01,69.4,0.0,0.0,0.0,2.4
