category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Coffee,Vittoria Coffee,2021-08-01,40.0,40.0,0,1.0,
Coffee,Vittoria Coffee,2021-09-01,27.0,27.0,0,1.0,
Coffee,Vittoria Coffee,2021-10-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2021-11-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2021-12-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-01-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-02-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-03-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-04-01,4.5,4.5,0,1.0,
Coffee,Vittoria Coffee,2022-05-01,3.8,3.8,0,1.0,
Coffee,Vittoria Coffee,2022-06-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-07-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-08-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-09-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-10-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-11-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2022-12-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2023-01-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2023-02-01,0.0,0.0,0,1.0,
Coffee,Vittoria Coffee,2023-03-01,36.25,36.25,0,1.0,
Coffee,Vittoria Coffee,2023-04-01,65.8,65.8,0,1.0,
Coffee,Vittoria Coffee,2023-05-01,46.25,46.25,0,1.0,
Coffee,Vittoria Coffee,2023-06-01,39.0,39.0,0,1.0,
Coffee,Vittoria Coffee,2023-07-01,51.4,51.4,0,1.0,
Coffee,Vittoria Coffee,2023-08-01,52.25,52.25,0,1.0,
Coffee,Vittoria Coffee,2023-09-01,47.5,47.5,0,1.0,
Coffee,Vittoria Coffee,2023-10-01,54.8,54.8,0,1.0,
Coffee,Vittoria Coffee,2023-11-01,76.75,76.75,0,1.0,
Coffee,Vittoria Coffee,2023-12-01,54.0,54.0,0,1.0,
Coffee,Vittoria Coffee,2024-01-01,45.75,45.75,0,1.0,
Coffee,Vittoria Coffee,2024-02-01,59.5,59.5,0,1.0,
Coffee,Vittoria Coffee,2024-03-01,61.8,61.8,0,1.0,
Coffee,Vittoria Coffee,2024-04-01,64.25,64.25,0,1.0,
Coffee,Vittoria Coffee,2024-05-01,55.25,55.25,0,1.0,
Coffee,Vittoria Coffee,2024-06-01,63.0,63.0,0,1.0,
Coffee,Vittoria Coffee,2024-07-01,61.0,61.0,0,1.0,
Coffee,Vittoria Coffee,2024-08-01,41.75,41.75,0,1.0,
Coffee,Vittoria Coffee,2024-09-01,36.4,36.4,0,1.0,
Coffee,Vittoria Coffee,2024-10-01,46.75,46.75,0,1.0,
Coffee,Vittoria Coffee,2024-11-01,71.75,71.75,0,1.0,
Coffee,Vittoria Coffee,2024-12-01,59.4,59.4,0,1.0,
Coffee,Vittoria Coffee,2025-01-01,70.75,70.75,0,1.0,
Coffee,Vittoria Coffee,2025-02-01,64.75,64.75,0,1.0,
Coffee,Vittoria Coffee,2025-03-01,52.0,52.0,0,1.0,
Coffee,Allpress Espresso,2021-08-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2021-09-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2021-10-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2021-11-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2021-12-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-01-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-02-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-03-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-04-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-05-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-06-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-07-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2022-08-01,23.75,23.75,0,1.0,
Coffee,Allpress Espresso,2022-09-01,22.5,22.5,0,1.0,
Coffee,Allpress Espresso,2022-10-01,15.6,15.6,0,1.0,
Coffee,Allpress Espresso,2022-11-01,6.0,6.0,0,1.0,
Coffee,Allpress Espresso,2022-12-01,0.0,0.0,0,1.0,
Coffee,Allpress Espresso,2023-01-01,3.4,3.4,0,1.0,
Coffee,Allpress Espresso,2023-02-01,14.25,14.25,0,1.0,
Coffee,Allpress Espresso,2023-03-01,13.75,13.75,0,1.0,
Coffee,Allpress Espresso,2023-04-01,13.6,13.6,0,1.0,
Coffee,Allpress Espresso,2023-05-01,16.25,16.25,0,1.0,
Coffee,Allpress Espresso,2023-06-01,17.5,17.5,0,1.0,
Coffee,Allpress Espresso,2023-07-01,26.0,26.0,0,1.0,
Coffee,Allpress Espresso,2023-08-01,19.25,19.25,0,1.0,
Coffee,Allpress Espresso,2023-09-01,20.0,20.0,0,1.0,
Coffee,Allpress Espresso,2023-10-01,12.4,12.4,0,1.0,
Coffee,Allpress Espresso,2023-11-01,26.25,26.25,0,1.0,
Coffee,Allpress Espresso,2023-12-01,26.2,26.2,0,1.0,
Coffee,Allpress Espresso,2024-01-01,22.5,22.5,0,1.0,
Coffee,Allpress Espresso,2024-02-01,21.25,21.25,0,1.0,
Coffee,Allpress Espresso,2024-03-01,35.2,35.2,0,1.0,
Coffee,Allpress Espresso,2024-04-01,38.5,38.5,0,1.0,
Coffee,Allpress Espresso,2024-05-01,41.5,41.5,0,1.0,
Coffee,Allpress Espresso,2024-06-01,35.4,35.4,0,1.0,
Coffee,Allpress Espresso,2024-07-01,44.25,44.25,0,1.0,
Coffee,Allpress Espresso,2024-08-01,31.75,31.75,0,1.0,
Coffee,Allpress Espresso,2024-09-01,33.2,33.2,0,1.0,
Coffee,Allpress Espresso,2024-10-01,36.5,36.5,0,1.0,
Coffee,Allpress Espresso,2024-11-01,37.5,37.5,0,1.0,
Coffee,Allpress Espresso,2024-12-01,42.6,42.6,0,1.0,
Coffee,Allpress Espresso,2025-01-01,50.75,50.75,0,1.0,
Coffee,Allpress Espresso,2025-02-01,34.5,34.5,0,1.0,
Coffee,Allpress Espresso,2025-03-01,26.6,26.6,0,1.0,
Coffee,Axil,2021-08-01,0.0,0.0,0,1.0,
Coffee,Axil,2021-09-01,0.0,0.0,0,1.0,
Coffee,Axil,2021-10-01,0.0,0.0,0,1.0,
Coffee,Axil,2021-11-01,0.0,0.0,0,1.0,
Coffee,Axil,2021-12-01,0.0,0.0,0,1.0,
Coffee,Axil,2022-01-01,0.0,0.0,0,1.0,
