time [UTC],Groupon,Cashrewards,EatClub,Entertainment,First Table
2021-08-01,6.0,3.0,0.0,28.0,1.0
2021-09-01,7.75,2.5,0.0,37.0,1.25
2021-10-01,9.8,2.2,0.0,32.8,1.8
2021-11-01,12.25,4.5,0.0,33.0,2.0
2021-12-01,13.0,3.5,0.0,32.0,1.25
2022-01-01,12.4,3.0,0.0,32.6,1.6
2022-02-01,11.5,3.0,0.0,35.75,2.5
2022-03-01,12.0,3.75,0.0,40.75,2.25
2022-04-01,12.75,4.0,0.0,46.25,2.0
2022-05-01,11.6,4.8,0.0,43.2,2.4
2022-06-01,11.75,5.0,0.0,51.5,2.0
2022-07-01,11.2,4.2,0.0,42.2,2.0
2022-08-01,10.5,4.0,0.0,39.5,2.0
2022-09-01,11.5,3.75,0.0,63.25,2.0
2022-10-01,10.0,4.0,0.0,45.0,2.0
2022-11-01,10.0,8.75,0.0,38.75,2.0
2022-12-01,12.0,5.5,0.0,38.0,1.75
2023-01-01,10.4,4.0,0.0,38.8,2.0
2023-02-01,8.75,4.0,0.0,39.25,2.5
2023-03-01,8.25,4.5,0.0,41.5,2.25
2023-04-01,9.0,3.8,0.2,38.6,2.4
2023-05-01,8.25,4.5,0.5,37.5,2.75
2023-06-01,8.75,5.25,0.0,41.75,2.5
2023-07-01,8.4,4.2,0.0,42.8,2.2
2023-08-01,7.75,3.75,0.25,39.0,3.0
2023-09-01,7.75,3.5,0.0,44.5,2.75
2023-10-01,7.2,3.4,0.0,40.4,2.6
2023-11-01,7.75,6.25,0.0,39.0,2.25
2023-12-01,9.4,3.6,0.0,36.6,2.0
2024-01-01,7.75,2.75,0.0,35.75,2.5
2024-02-01,6.75,2.5,0.0,41.5,2.75
2024-03-01,6.2,2.8,0.0,37.6,2.6
2024-04-01,6.5,2.75,0.5,43.75,2.75
2024-05-01,6.5,3.25,0.25,36.25,2.75
2024-06-01,7.0,3.0,0.4,40.4,3.6
2024-07-01,6.75,3.0,0.5,39.25,3.5
2024-08-01,5.75,2.5,0.75,35.75,3.25
2024-09-01,6.6,2.8,0.8,47.0,3.0
2024-10-01,6.0,2.75,0.75,40.5,3.25
2024-11-01,6.5,5.25,1.0,38.0,3.0
2024-12-01,7.8,3.6,0.4,35.4,3.0
2025-01-01,7.0,2.25,0.75,41.25,3.0
2025-02-01,6.0,2.75,0.75,42.75,4.0
2025-03-01,5.0,2.6,1.0,37.2,3.4
