time [UTC],Groupon,RedBalloon
2021-08-01,34.0,28.0
2021-09-01,49.5,22.5
2021-10-01,53.2,11.6
2021-11-01,83.5,14.5
2021-12-01,88.25,21.5
2022-01-01,55.2,14.8
2022-02-01,52.25,18.0
2022-03-01,80.25,27.75
2022-04-01,83.5,27.0
2022-05-01,74.2,27.2
2022-06-01,74.5,40.0
2022-07-01,72.0,29.0
2022-08-01,68.75,12.0
2022-09-01,72.25,6.25
2022-10-01,40.4,6.0
2022-11-01,12.5,7.75
2022-12-01,14.75,13.0
2023-01-01,14.2,9.4
2023-02-01,10.5,5.75
2023-03-01,8.75,2.75
2023-04-01,11.2,4.8
2023-05-01,8.75,15.0
2023-06-01,9.25,7.0
2023-07-01,9.2,13.0
2023-08-01,14.25,6.75
2023-09-01,20.75,7.0
2023-10-01,9.0,6.4
2023-11-01,9.25,5.0
2023-12-01,11.2,17.4
2024-01-01,11.5,11.5
2024-02-01,9.75,8.5
2024-03-01,17.8,7.4
2024-04-01,12.25,6.75
2024-05-01,16.5,8.25
2024-06-01,20.2,6.0
2024-07-01,14.75,7.0
2024-08-01,14.25,9.5
2024-09-01,16.2,7.8
2024-10-01,16.0,22.0
2024-11-01,25.0,40.75
2024-12-01,31.6,14.4
2025-01-01,18.75,12.0
2025-02-01,21.5,20.25
2025-03-01,15.6,17.8
