time [UTC],MasterFoods,Old El Paso
2021-08-01,77.0,44.0
2021-09-01,72.0,41.25
2021-10-01,60.6,38.8
2021-11-01,55.5,28.25
2021-12-01,53.5,19.25
2022-01-01,63.8,37.0
2022-02-01,55.75,34.0
2022-03-01,56.25,32.75
2022-04-01,60.25,35.0
2022-05-01,61.8,35.4
2022-06-01,67.0,30.0
2022-07-01,67.8,35.2
2022-08-01,65.5,34.5
2022-09-01,56.5,33.5
2022-10-01,59.4,35.4
2022-11-01,58.75,27.0
2022-12-01,60.0,21.25
2023-01-01,69.0,30.6
2023-02-01,61.25,32.0
2023-03-01,69.75,30.25
2023-04-01,65.4,29.8
2023-05-01,83.5,34.25
2023-06-01,73.0,30.25
2023-07-01,72.4,37.6
2023-08-01,68.0,31.5
2023-09-01,63.0,37.0
2023-10-01,61.6,36.2
2023-11-01,61.75,38.25
2023-12-01,65.2,28.4
2024-01-01,68.0,38.75
2024-02-01,65.5,36.5
2024-03-01,61.2,32.8
2024-04-01,69.25,38.25
2024-05-01,70.0,37.0
2024-06-01,78.0,29.2
2024-07-01,80.75,34.75
2024-08-01,78.5,39.0
2024-09-01,68.6,36.2
2024-10-01,66.75,38.75
2024-11-01,63.5,39.25
2024-12-01,64.6,29.0
2025-01-01,65.5,37.0
2025-02-01,74.0,37.75
2025-03-01,72.0,33.8
