category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
"Crumbs, Coatings and Sauces",MasterFoods,2021-08-01,33.0,33.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-09-01,25.0,25.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-10-01,21.6,21.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-11-01,19.75,19.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2021-12-01,20.25,20.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-01-01,24.0,24.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-02-01,20.5,20.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-03-01,21.25,21.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-04-01,24.0,24.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-05-01,23.0,23.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-06-01,25.5,25.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-07-01,26.2,26.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-08-01,25.75,25.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-09-01,20.75,20.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-10-01,22.4,22.4,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-11-01,20.75,20.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2022-12-01,21.5,21.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-01-01,26.8,26.8,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-02-01,23.75,23.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-03-01,25.75,25.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-04-01,24.2,24.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-05-01,28.5,28.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-06-01,26.25,26.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-07-01,25.0,25.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-08-01,24.0,24.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-09-01,21.5,21.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-10-01,22.2,22.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-11-01,20.75,20.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2023-12-01,21.6,21.6,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-01-01,24.0,24.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-02-01,22.5,22.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-03-01,21.2,21.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-04-01,24.25,24.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-05-01,25.5,25.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-06-01,28.0,28.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-07-01,28.5,28.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-08-01,27.75,27.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-09-01,23.2,23.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-10-01,23.75,23.75,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-11-01,21.5,21.5,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2024-12-01,23.2,23.2,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2025-01-01,23.25,23.25,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2025-02-01,26.0,26.0,0,1.0,
"Crumbs, Coatings and Sauces",MasterFoods,2025-03-01,25.2,25.2,0,1.0,
"Crumbs, Coatings and Sauces",Hart & Soul,2021-08-01,0.0,0.0,0,1.0,
"Crumbs, Coatings and Sauces",Hart & Soul,2021-09-01,0.0,0.0,0,1.0,
"Crumbs, Coatings and Sauces",Hart & Soul,2021-10-01,0.0,0.0,0,1.0,
"Crumbs, Coatings and Sauces",Hart & Soul,2021-11-01,0.0,0.0,0,1.0,
