time [UTC],Kmart,Target
2021-08-01,0.0,0.0
2021-09-01,0.0,0.0
2021-10-01,0.0,0.0
2021-11-01,0.0,0.0
2021-12-01,0.0,0.0
2022-01-01,0.0,0.0
2022-02-01,0.0,0.0
2022-03-01,0.0,0.0
2022-04-01,0.0,0.0
2022-05-01,0.0,0.0
2022-06-01,0.0,0.0
2022-07-01,0.0,0.0
2022-08-01,0.0,0.0
2022-09-01,0.0,5.75
2022-10-01,55.2,11.2
2022-11-01,68.75,15.25
2022-12-01,82.0,18.5
2023-01-01,62.6,11.0
2023-02-01,50.0,11.75
2023-03-01,55.5,15.25
2023-04-01,62.6,16.8
2023-05-01,57.0,16.0
2023-06-01,59.0,15.0
2023-07-01,57.6,13.2
2023-08-01,58.0,13.25
2023-09-01,59.25,15.0
2023-10-01,64.0,16.4
2023-11-01,74.5,20.75
2023-12-01,86.0,21.8
2024-01-01,63.5,14.75
2024-02-01,56.75,13.0
2024-03-01,57.6,13.4
2024-04-01,59.0,14.0
2024-05-01,55.25,13.25
2024-06-01,58.0,13.2
2024-07-01,58.25,13.0
2024-08-01,57.0,13.0
2024-09-01,58.6,13.2
2024-10-01,63.25,14.25
2024-11-01,70.0,17.0
2024-12-01,86.0,19.2
2025-01-01,65.75,13.0
2025-02-01,58.25,12.25
2025-03-01,55.2,12.2
