category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Department Stores,Kmart,2021-08-01,66.0,66.0,0,1.0,
Department Stores,Kmart,2021-09-01,71.5,71.5,0,1.0,
Department Stores,Kmart,2021-10-01,74.0,74.0,0,1.0,
Department Stores,Kmart,2021-11-01,81.25,81.25,0,1.0,
Department Stores,Kmart,2021-12-01,89.25,89.25,0,1.0,
Department Stores,Kmart,2022-01-01,63.4,63.4,0,1.0,
Department Stores,Kmart,2022-02-01,59.25,59.25,0,1.0,
Department Stores,Kmart,2022-03-01,57.25,57.25,0,1.0,
Department Stores,Kmart,2022-04-01,65.5,65.5,0,1.0,
Department Stores,Kmart,2022-05-01,60.4,60.4,0,1.0,
Department Stores,Kmart,2022-06-01,61.75,61.75,0,1.0,
Department Stores,Kmart,2022-07-01,61.4,61.4,0,1.0,
Department Stores,Kmart,2022-08-01,60.0,60.0,0,1.0,
Department Stores,Kmart,2022-09-01,61.75,61.75,0,1.0,
Department Stores,Kmart,2022-10-01,65.2,65.2,0,1.0,
Department Stores,Kmart,2022-11-01,74.0,74.0,0,1.0,
Department Stores,Kmart,2022-12-01,87.25,87.25,0,1.0,
Department Stores,Kmart,2023-01-01,69.4,69.4,0,1.0,
Department Stores,Kmart,2023-02-01,59.0,59.0,0,1.0,
Department Stores,Kmart,2023-03-01,57.75,57.75,0,1.0,
Department Stores,Kmart,2023-04-01,64.8,64.8,0,1.0,
Department Stores,Kmart,2023-05-01,58.75,58.75,0,1.0,
Department Stores,Kmart,2023-06-01,59.75,59.75,0,1.0,
Department Stores,Kmart,2023-07-01,59.2,59.2,0,1.0,
Department Stores,Kmart,2023-08-01,58.5,58.5,0,1.0,
Department Stores,Kmart,2023-09-01,61.5,61.5,0,1.0,
Department Stores,Kmart,2023-10-01,65.6,65.6,0,1.0,
Department Stores,Kmart,2023-11-01,76.0,76.0,0,1.0,
Department Stores,Kmart,2023-12-01,87.8,87.8,0,1.0,
Department Stores,Kmart,2024-01-01,64.5,64.5,0,1.0,
Department Stores,Kmart,2024-02-01,59.5,59.5,0,1.0,
Department Stores,Kmart,2024-03-01,58.2,58.2,0,1.0,
Department Stores,Kmart,2024-04-01,59.25,59.25,0,1.0,
Department Stores,Kmart,2024-05-01,56.5,56.5,0,1.0,
Department Stores,Kmart,2024-06-01,60.2,60.2,0,1.0,
Department Stores,Kmart,2024-07-01,61.0,61.0,0,1.0,
Department Stores,Kmart,2024-08-01,60.0,60.0,0,1.0,
Department Stores,Kmart,2024-09-01,61.2,61.2,0,1.0,
Department Stores,Kmart,2024-10-01,64.0,64.0,0,1.0,
Department Stores,Kmart,2024-11-01,72.25,72.25,0,1.0,
Department Stores,Kmart,2024-12-01,87.8,87.8,0,1.0,
Department Stores,Kmart,2025-01-01,67.25,67.25,0,1.0,
Department Stores,Kmart,2025-02-01,60.0,60.0,0,1.0,
Department Stores,Kmart,2025-03-01,55.6,55.6,0,1.0,
Department Stores,Big W,2021-08-01,37.0,37.0,0,1.0,
Department Stores,Big W,2021-09-01,39.25,39.25,0,1.0,
Department Stores,Big W,2021-10-01,39.2,39.2,0,1.0,
Department Stores,Big W,2021-11-01,46.75,46.75,0,1.0,
Department Stores,Big W,2021-12-01,51.0,51.0,0,1.0,
Department Stores,Big W,2022-01-01,30.2,30.2,0,1.0,
Department Stores,Big W,2022-02-01,28.5,28.5,0,1.0,
Department Stores,Big W,2022-03-01,29.25,29.25,0,1.0,
Department Stores,Big W,2022-04-01,32.5,32.5,0,1.0,
Department Stores,Big W,2022-05-01,29.6,29.6,0,1.0,
Department Stores,Big W,2022-06-01,34.25,34.25,0,1.0,
Department Stores,Big W,2022-07-01,31.8,31.8,0,1.0,
Department Stores,Big W,2022-08-01,30.75,30.75,0,1.0,
Department Stores,Big W,2022-09-01,29.75,29.75,0,1.0,
Department Stores,Big W,2022-10-01,32.6,32.6,0,1.0,
Department Stores,Big W,2022-11-01,41.25,41.25,0,1.0,
Department Stores,Big W,2022-12-01,48.0,48.0,0,1.0,
Department Stores,Big W,2023-01-01,31.8,31.8,0,1.0,
Department Stores,Big W,2023-02-01,27.25,27.25,0,1.0,
Department Stores,Big W,2023-03-01,27.75,27.75,0,1.0,
Department Stores,Big W,2023-04-01,29.6,29.6,0,1.0,
Department Stores,Big W,2023-05-01,27.5,27.5,0,1.0,
Department Stores,Big W,2023-06-01,29.75,29.75,0,1.0,
Department Stores,Big W,2023-07-01,27.6,27.6,0,1.0,
Department Stores,Big W,2023-08-01,28.0,28.0,0,1.0,
