time [UTC],Healthy Life,Adore,Biome,Flora & Fauna,Go for Zero
2021-08-01,6.0,68.0,25.0,0.0,0.0
2021-09-01,5.25,62.25,17.0,0.0,0.25
2021-10-01,5.2,53.0,20.2,0.0,0.0
2021-11-01,4.25,66.0,20.5,0.0,0.25
2021-12-01,9.25,57.25,16.25,0.0,0.5
2022-01-01,24.8,53.2,19.6,0.0,0.0
2022-02-01,6.25,52.75,27.5,0.0,0.25
2022-03-01,5.75,55.0,25.5,0.25,0.5
2022-04-01,5.0,53.5,20.75,0.0,0.25
2022-05-01,6.6,56.2,24.2,0.0,0.4
2022-06-01,5.75,52.5,26.0,0.0,0.75
2022-07-01,5.2,52.0,29.6,0.0,0.2
2022-08-01,5.25,57.0,32.5,0.0,0.25
2022-09-01,6.25,50.75,24.0,0.25,0.5
2022-10-01,5.8,51.2,26.0,0.0,0.2
2022-11-01,5.25,72.0,23.75,0.0,0.0
2022-12-01,4.5,55.0,17.75,0.0,0.25
2023-01-01,5.2,46.6,20.4,0.2,0.4
2023-02-01,5.75,47.75,36.0,0.0,0.25
2023-03-01,6.25,47.75,29.0,0.0,0.0
2023-04-01,5.2,49.4,24.4,0.0,0.0
2023-05-01,6.5,54.25,26.5,0.0,0.25
2023-06-01,6.0,47.5,27.25,0.0,0.5
2023-07-01,6.4,44.0,31.4,0.0,0.0
2023-08-01,6.75,48.0,37.0,0.25,0.0
2023-09-01,6.75,42.0,25.5,0.25,0.25
2023-10-01,7.8,49.6,26.8,0.0,0.2
2023-11-01,6.75,66.25,26.75,0.0,0.25
2023-12-01,5.6,51.0,22.2,0.0,0.2
2024-01-01,6.75,42.0,21.75,0.0,0.25
2024-02-01,6.5,44.75,36.75,0.0,0.25
2024-03-01,6.4,45.0,30.6,0.2,0.0
2024-04-01,6.5,41.5,27.25,0.0,0.0
2024-05-01,7.25,47.25,33.0,0.0,0.0
2024-06-01,6.6,46.4,30.2,0.0,0.2
2024-07-01,6.5,41.0,37.0,0.0,0.0
2024-08-01,7.25,49.25,37.25,0.0,0.5
2024-09-01,6.8,41.6,31.2,0.0,0.2
2024-10-01,7.5,39.75,29.5,0.0,0.5
2024-11-01,7.0,60.0,30.0,0.0,0.0
2024-12-01,6.0,50.8,22.8,0.0,0.0
2025-01-01,6.5,41.25,23.0,0.0,0.25
2025-02-01,7.0,45.5,38.5,0.0,0.25
2025-03-01,6.0,40.6,32.8,0.0,0.8
