time [UTC],KFC,Mad Mex,McDonalds,Oporto,Red Rooster
2021-08-01,51.0,1.0,83.0,7.0,17.0
2021-09-01,58.0,1.0,88.5,6.0,16.75
2021-10-01,55.4,1.6,83.6,6.4,15.4
2021-11-01,57.25,2.0,86.75,6.25,14.75
2021-12-01,74.75,2.0,78.25,7.75,20.5
2022-01-01,56.2,2.0,60.6,6.2,14.2
2022-02-01,44.0,1.75,74.5,6.0,14.0
2022-03-01,50.75,2.0,67.0,5.75,13.5
2022-04-01,57.25,2.0,69.0,6.5,16.25
2022-05-01,52.8,1.8,59.8,6.0,14.2
2022-06-01,58.25,1.75,62.25,7.0,14.25
2022-07-01,53.0,1.6,66.2,6.4,14.4
2022-08-01,51.0,2.0,63.25,6.0,13.5
2022-09-01,51.0,1.75,65.25,6.25,13.25
2022-10-01,56.2,1.8,73.8,5.6,12.6
2022-11-01,51.0,2.0,72.25,6.25,13.0
2022-12-01,60.25,2.0,74.0,7.5,17.75
2023-01-01,51.4,2.0,66.4,6.4,13.8
2023-02-01,52.75,1.5,55.0,6.25,14.25
2023-03-01,50.25,2.0,57.5,6.0,14.5
2023-04-01,56.4,2.0,64.0,6.4,16.0
2023-05-01,52.75,2.0,53.0,5.5,12.25
2023-06-01,56.25,1.75,57.5,6.5,12.5
2023-07-01,52.6,2.0,60.4,6.2,13.8
2023-08-01,51.25,1.75,64.5,6.75,12.75
2023-09-01,49.0,1.75,83.5,6.75,13.5
2023-10-01,49.2,2.0,61.2,7.0,13.6
2023-11-01,47.0,2.0,60.75,6.5,13.75
2023-12-01,55.0,2.0,72.4,7.8,17.0
2024-01-01,46.25,2.0,55.0,6.75,12.75
2024-02-01,46.75,1.5,52.0,7.25,13.5
2024-03-01,50.0,2.0,63.0,6.8,14.4
2024-04-01,48.25,2.0,71.0,7.25,14.75
2024-05-01,47.0,2.0,57.25,6.25,14.25
2024-06-01,51.6,2.0,60.2,6.2,13.0
2024-07-01,54.0,2.0,55.75,7.25,12.25
2024-08-01,46.75,2.0,60.5,6.75,11.75
2024-09-01,49.8,2.0,57.2,7.0,12.0
2024-10-01,47.75,2.0,62.0,6.5,12.0
2024-11-01,43.5,2.0,51.5,7.0,11.75
2024-12-01,51.6,2.0,62.4,7.6,15.0
2025-01-01,43.75,2.0,55.25,6.75,11.0
2025-02-01,44.0,2.0,48.75,6.0,10.5
2025-03-01,48.8,1.8,56.2,5.8,11.6
