time [UTC],KFC,Roll'd,Schnitz,Soul Origin,Subway
2021-08-01,61.0,0.0,0.0,1.0,24.0
2021-09-01,69.0,0.0,0.0,1.0,24.5
2021-10-01,66.0,0.0,0.0,1.2,25.6
2021-11-01,68.25,0.0,0.0,1.75,25.5
2021-12-01,89.25,0.0,0.0,2.0,29.0
2022-01-01,67.0,0.0,0.0,1.8,25.6
2022-02-01,52.75,0.0,0.0,2.0,23.5
2022-03-01,60.25,0.0,0.0,2.0,23.0
2022-04-01,68.5,0.0,0.0,2.0,24.5
2022-05-01,63.2,0.0,0.0,2.0,22.6
2022-06-01,70.25,0.0,0.0,2.0,25.25
2022-07-01,63.0,0.0,0.0,2.0,23.6
2022-08-01,60.75,0.0,0.0,2.0,24.25
2022-09-01,60.75,0.0,0.0,2.0,27.25
2022-10-01,67.2,0.0,3.0,2.4,22.8
2022-11-01,61.0,0.0,3.0,2.0,24.5
2022-12-01,71.75,0.0,3.5,2.5,26.5
2023-01-01,61.0,0.0,3.0,2.0,25.8
2023-02-01,63.0,0.0,3.0,2.0,24.5
2023-03-01,60.0,0.0,3.0,2.0,25.25
2023-04-01,67.2,0.0,3.0,2.2,25.4
2023-05-01,63.25,0.0,3.25,2.25,21.5
2023-06-01,67.0,0.0,3.0,2.0,22.25
2023-07-01,62.8,0.0,3.2,2.0,23.4
2023-08-01,61.5,0.0,3.0,2.0,24.75
2023-09-01,58.25,0.0,3.5,2.5,23.25
2023-10-01,58.6,0.0,3.0,2.0,23.4
2023-11-01,56.0,0.0,3.0,2.25,22.75
2023-12-01,65.8,0.0,3.8,2.2,26.8
2024-01-01,55.25,0.0,3.0,2.25,24.5
2024-02-01,55.75,0.0,3.0,2.0,22.75
2024-03-01,59.6,0.0,3.0,2.0,25.4
2024-04-01,57.5,0.0,3.0,2.25,23.5
2024-05-01,56.25,0.0,3.0,2.25,22.25
2024-06-01,61.6,0.0,3.4,2.0,22.4
2024-07-01,64.75,0.0,3.25,2.0,23.25
2024-08-01,55.5,0.0,3.0,2.25,24.0
2024-09-01,59.4,0.0,3.6,2.0,24.8
2024-10-01,57.0,0.0,3.0,2.5,24.25
2024-11-01,51.5,0.0,3.25,2.5,22.25
2024-12-01,61.6,0.0,3.8,2.2,25.4
2025-01-01,52.25,0.0,3.0,2.25,24.0
2025-02-01,52.5,0.0,3.0,2.5,22.25
2025-03-01,58.2,0.0,3.0,2.6,22.8
