time [UTC],KFC,Taco Bell,Zambrero
2021-08-01,62.0,4.0,5.0
2021-09-01,69.75,8.75,5.75
2021-10-01,67.6,7.2,5.4
2021-11-01,67.75,5.5,5.5
2021-12-01,88.25,5.5,6.5
2022-01-01,65.4,6.2,5.6
2022-02-01,54.5,5.0,5.0
2022-03-01,60.25,5.0,5.0
2022-04-01,68.0,7.25,5.75
2022-05-01,63.4,7.0,5.0
2022-06-01,70.5,6.5,5.0
2022-07-01,62.2,6.6,5.2
2022-08-01,61.25,6.0,5.75
2022-09-01,61.75,5.75,5.5
2022-10-01,65.6,5.8,5.4
2022-11-01,60.25,5.5,5.0
2022-12-01,74.0,6.25,6.25
2023-01-01,61.4,6.0,6.0
2023-02-01,62.5,6.0,5.0
2023-03-01,61.0,5.25,5.25
2023-04-01,68.6,6.2,5.8
2023-05-01,64.25,5.0,4.75
2023-06-01,66.25,5.0,5.0
2023-07-01,63.0,5.0,5.2
2023-08-01,59.75,4.5,5.25
2023-09-01,57.5,4.5,5.5
2023-10-01,59.0,4.2,5.2
2023-11-01,56.5,4.0,6.0
2023-12-01,65.6,5.0,6.4
2024-01-01,55.5,4.0,6.0
2024-02-01,55.25,4.0,5.75
2024-03-01,60.6,4.4,6.4
2024-04-01,58.0,4.25,6.5
2024-05-01,56.75,4.0,6.0
2024-06-01,63.2,4.0,6.0
2024-07-01,64.5,4.25,6.5
2024-08-01,55.75,4.0,6.25
2024-09-01,59.2,4.0,7.8
2024-10-01,56.0,4.0,6.25
2024-11-01,51.25,4.0,6.0
2024-12-01,61.0,4.6,7.4
2025-01-01,52.75,4.0,7.25
2025-02-01,52.5,4.0,6.0
2025-03-01,58.0,4.0,6.6
