time [UTC],Country Road,Cue,Decjuba,Forever New,Gorman
2021-08-01,39.0,8.0,9.0,17.0,8.0
2021-09-01,46.5,8.25,10.0,17.75,8.25
2021-10-01,48.4,8.8,11.8,24.8,9.0
2021-11-01,70.75,10.25,16.5,32.0,11.0
2021-12-01,72.25,9.0,15.75,27.5,12.25
2022-01-01,45.6,8.4,10.8,21.8,10.2
2022-02-01,50.0,9.5,11.0,27.5,10.75
2022-03-01,49.5,10.25,12.75,27.25,10.25
2022-04-01,54.75,10.5,15.0,29.0,10.25
2022-05-01,56.8,11.0,16.0,30.6,9.6
2022-06-01,46.5,9.75,17.75,31.25,9.0
2022-07-01,43.2,9.6,14.6,29.4,8.6
2022-08-01,49.5,10.0,13.75,30.0,9.0
2022-09-01,45.75,9.25,14.0,32.25,9.5
2022-10-01,45.6,9.0,13.8,31.0,10.2
2022-11-01,72.0,9.25,17.75,32.5,12.75
2022-12-01,74.75,8.5,16.5,27.25,12.5
2023-01-01,45.8,8.8,11.8,23.2,10.2
2023-02-01,46.25,8.75,12.25,23.25,11.0
2023-03-01,46.25,9.0,13.0,23.25,9.5
2023-04-01,54.2,9.8,17.8,25.6,9.2
2023-05-01,60.75,9.0,17.25,25.75,9.5
2023-06-01,47.25,9.0,14.5,24.5,8.75
2023-07-01,43.0,8.8,11.6,21.2,8.6
2023-08-01,41.5,9.25,11.25,22.75,8.75
2023-09-01,43.5,9.0,13.0,23.75,9.5
2023-10-01,43.0,9.2,12.4,24.4,9.8
2023-11-01,63.25,9.75,14.0,26.0,11.25
2023-12-01,67.0,8.4,14.0,21.6,10.6
2024-01-01,41.0,8.75,10.25,17.75,9.5
2024-02-01,43.75,9.5,10.0,19.0,9.25
2024-03-01,46.0,9.2,11.0,18.0,9.4
2024-04-01,55.0,9.25,12.25,19.5,9.0
2024-05-01,51.5,10.0,12.75,19.75,9.0
2024-06-01,45.0,9.6,12.2,19.2,8.6
2024-07-01,36.5,8.75,11.75,18.75,8.75
2024-08-01,40.75,8.5,10.0,20.25,8.5
2024-09-01,42.0,9.4,10.4,21.4,8.8
2024-10-01,40.0,8.75,11.25,22.5,9.25
2024-11-01,56.0,10.0,13.5,25.0,10.25
2024-12-01,58.4,8.8,12.8,21.2,10.6
2025-01-01,36.75,8.75,8.75,18.0,9.25
2025-02-01,36.0,9.0,9.25,17.75,9.25
2025-03-01,38.4,10.0,10.2,18.0,8.6
