time [UTC],Kora Organics,Alpha-H,Biologi,Emma Lewisham,Go-to-skincare
2021-08-01,35.0,55.0,0.0,0.0,0.0
2021-09-01,53.75,46.75,0.0,10.0,0.0
2021-10-01,46.8,48.2,0.0,5.4,0.0
2021-11-01,52.0,42.75,0.0,0.0,0.0
2021-12-01,39.75,54.5,0.0,3.75,0.0
2022-01-01,38.6,48.6,0.0,6.0,0.0
2022-02-01,29.25,46.0,0.0,5.25,0.0
2022-03-01,27.75,46.75,0.0,9.5,0.0
2022-04-01,51.0,49.5,0.0,5.75,0.0
2022-05-01,37.6,42.6,0.0,10.0,0.0
2022-06-01,41.5,56.0,0.0,6.5,0.0
2022-07-01,32.2,43.4,0.0,6.0,0.0
2022-08-01,27.0,45.75,0.0,18.0,0.0
2022-09-01,29.0,51.0,0.0,16.5,0.0
2022-10-01,27.6,47.8,0.0,12.2,0.0
2022-11-01,41.25,47.75,0.0,11.25,0.0
2022-12-01,28.0,48.25,0.0,18.0,0.0
2023-01-01,27.6,45.2,0.0,13.0,0.0
2023-02-01,21.75,42.75,0.0,16.5,0.0
2023-03-01,27.75,40.5,0.0,66.5,0.0
2023-04-01,37.6,41.0,0.0,26.4,0.0
2023-05-01,29.75,39.0,0.0,31.75,0.0
2023-06-01,26.75,45.25,0.0,28.0,0.0
2023-07-01,27.2,44.6,0.0,18.6,0.0
2023-08-01,28.0,46.0,0.0,13.25,0.0
2023-09-01,49.25,39.5,0.0,10.5,0.0
2023-10-01,32.2,42.6,0.0,21.8,0.0
2023-11-01,41.5,50.0,0.0,18.25,0.0
2023-12-01,32.6,45.8,0.0,21.6,0.0
2024-01-01,23.0,40.5,0.0,18.0,0.0
2024-02-01,23.75,37.25,0.0,16.5,0.0
2024-03-01,25.6,36.0,0.0,13.8,0.0
2024-04-01,24.75,43.5,0.0,19.5,0.0
2024-05-01,24.5,41.75,0.0,27.25,0.0
2024-06-01,20.8,41.8,0.0,23.2,0.0
2024-07-01,19.0,45.0,0.0,21.5,0.0
2024-08-01,28.25,38.75,0.0,22.75,0.0
2024-09-01,37.2,40.2,0.0,10.4,0.0
2024-10-01,30.25,34.25,0.0,11.0,3.5
2024-11-01,34.5,48.75,0.0,16.5,0.0
2024-12-01,30.8,48.0,0.0,12.8,0.0
2025-01-01,26.25,43.25,0.0,14.75,0.0
2025-02-01,16.75,35.25,0.0,12.5,3.0
2025-03-01,28.4,33.8,0.0,15.4,0.0
