category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Female Skincare,Kora Organics,2021-08-01,28.0,28.0,0,1.0,
Female Skincare,Kora Organics,2021-09-01,37.75,37.75,0,1.0,
Female Skincare,Kora Organics,2021-10-01,33.2,33.2,0,1.0,
Female Skincare,Kora Organics,2021-11-01,34.0,34.0,0,1.0,
Female Skincare,Kora Organics,2021-12-01,26.75,26.75,0,1.0,
Female Skincare,Kora Organics,2022-01-01,23.8,23.8,0,1.0,
Female Skincare,Kora Organics,2022-02-01,14.75,14.75,0,1.0,
Female Skincare,Kora Organics,2022-03-01,20.0,20.0,0,1.0,
Female Skincare,Kora Organics,2022-04-01,37.75,37.75,0,1.0,
Female Skincare,Kora Organics,2022-05-01,24.4,24.4,0,1.0,
Female Skincare,Kora Organics,2022-06-01,28.25,28.25,0,1.0,
Female Skincare,Kora Organics,2022-07-01,21.2,21.2,0,1.0,
Female Skincare,Kora Organics,2022-08-01,21.5,21.5,0,1.0,
Female Skincare,Kora Organics,2022-09-01,23.75,23.75,0,1.0,
Female Skincare,Kora Organics,2022-10-01,18.2,18.2,0,1.0,
Female Skincare,Kora Organics,2022-11-01,30.75,30.75,0,1.0,
Female Skincare,Kora Organics,2022-12-01,18.25,18.25,0,1.0,
Female Skincare,Kora Organics,2023-01-01,21.0,21.0,0,1.0,
Female Skincare,Kora Organics,2023-02-01,20.5,20.5,0,1.0,
Female Skincare,Kora Organics,2023-03-01,28.0,28.0,0,1.0,
Female Skincare,Kora Organics,2023-04-01,29.0,29.0,0,1.0,
Female Skincare,Kora Organics,2023-05-01,19.25,19.25,0,1.0,
Female Skincare,Kora Organics,2023-06-01,22.0,22.0,0,1.0,
Female Skincare,Kora Organics,2023-07-01,24.2,24.2,0,1.0,
Female Skincare,Kora Organics,2023-08-01,23.0,23.0,0,1.0,
Female Skincare,Kora Organics,2023-09-01,38.5,38.5,0,1.0,
Female Skincare,Kora Organics,2023-10-01,22.8,22.8,0,1.0,
Female Skincare,Kora Organics,2023-11-01,31.5,31.5,0,1.0,
Female Skincare,Kora Organics,2023-12-01,22.8,22.8,0,1.0,
Female Skincare,Kora Organics,2024-01-01,16.5,16.5,0,1.0,
Female Skincare,Kora Organics,2024-02-01,24.0,24.0,0,1.0,
Female Skincare,Kora Organics,2024-03-01,17.4,17.4,0,1.0,
Female Skincare,Kora Organics,2024-04-01,21.0,21.0,0,1.0,
Female Skincare,Kora Organics,2024-05-01,18.0,18.0,0,1.0,
Female Skincare,Kora Organics,2024-06-01,15.0,15.0,0,1.0,
Female Skincare,Kora Organics,2024-07-01,13.25,13.25,0,1.0,
Female Skincare,Kora Organics,2024-08-01,22.25,22.25,0,1.0,
Female Skincare,Kora Organics,2024-09-01,32.4,32.4,0,1.0,
Female Skincare,Kora Organics,2024-10-01,21.75,21.75,0,1.0,
Female Skincare,Kora Organics,2024-11-01,26.0,26.0,0,1.0,
Female Skincare,Kora Organics,2024-12-01,24.6,24.6,0,1.0,
Female Skincare,Kora Organics,2025-01-01,13.5,13.5,0,1.0,
Female Skincare,Kora Organics,2025-02-01,7.75,7.75,0,1.0,
Female Skincare,Kora Organics,2025-03-01,27.6,27.6,0,1.0,
Female Skincare,Alpha-H,2021-08-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2021-09-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2021-10-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2021-11-01,11.25,11.25,0,1.0,
Female Skincare,Alpha-H,2021-12-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-01-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-02-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-03-01,2.75,2.75,0,1.0,
Female Skincare,Alpha-H,2022-04-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-05-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-06-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-07-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-08-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-09-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-10-01,2.4,2.4,0,1.0,
Female Skincare,Alpha-H,2022-11-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2022-12-01,3.5,3.5,0,1.0,
Female Skincare,Alpha-H,2023-01-01,2.2,2.2,0,1.0,
Female Skincare,Alpha-H,2023-02-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-03-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-04-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-05-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-06-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-07-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-08-01,3.0,3.0,0,1.0,
Female Skincare,Alpha-H,2023-09-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-10-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-11-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2023-12-01,3.0,3.0,0,1.0,
Female Skincare,Alpha-H,2024-01-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2024-02-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2024-03-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2024-04-01,4.75,4.75,0,1.0,
Female Skincare,Alpha-H,2024-05-01,0.0,0.0,0,1.0,
Female Skincare,Alpha-H,2024-06-01,0.0,0.0,0,1.0,
