time [UTC],Femfresh,Barely Intimate,Canesten,Replens,Summer’s Eve
2021-08-01,10.0,0.0,73.0,0.0,0.0
2021-09-01,8.75,0.0,71.0,0.0,0.0
2021-10-01,4.4,0.0,67.8,1.8,0.0
2021-11-01,5.0,0.0,65.5,0.0,0.0
2021-12-01,8.5,0.0,64.0,0.0,0.0
2022-01-01,6.8,0.0,79.0,2.0,0.0
2022-02-01,5.25,0.0,73.5,0.0,0.0
2022-03-01,10.5,0.0,76.75,1.75,0.0
2022-04-01,5.75,0.0,76.75,2.0,0.0
2022-05-01,8.6,0.0,74.0,0.0,0.0
2022-06-01,10.25,0.0,70.75,2.0,0.0
2022-07-01,11.2,0.0,73.0,0.0,0.0
2022-08-01,13.5,0.0,75.75,0.0,0.0
2022-09-01,15.0,0.0,81.5,0.0,0.0
2022-10-01,15.0,0.0,82.0,1.4,0.0
2022-11-01,11.0,0.0,72.25,0.0,0.0
2022-12-01,16.25,0.0,75.5,0.0,0.0
2023-01-01,13.4,0.0,80.8,1.6,0.0
2023-02-01,14.5,0.0,83.25,2.0,0.0
2023-03-01,14.5,0.0,79.0,2.25,0.0
2023-04-01,14.6,0.0,81.0,3.2,0.0
2023-05-01,14.25,2.0,75.75,0.0,0.0
2023-06-01,15.25,0.0,86.0,2.0,0.0
2023-07-01,14.4,0.0,76.4,1.4,0.0
2023-08-01,13.5,0.0,78.75,0.0,0.0
2023-09-01,14.0,0.0,78.5,2.25,0.0
2023-10-01,15.8,0.0,78.4,1.6,0.0
2023-11-01,15.5,0.0,75.25,0.0,0.0
2023-12-01,12.4,0.0,83.4,1.6,0.0
2024-01-01,15.25,0.0,77.0,2.5,0.0
2024-02-01,13.5,0.0,81.0,0.0,0.0
2024-03-01,15.2,0.0,75.0,2.0,0.0
2024-04-01,13.75,0.0,76.5,0.0,0.0
2024-05-01,16.0,0.0,70.25,0.0,2.0
2024-06-01,16.8,0.0,71.6,0.0,0.0
2024-07-01,14.75,0.0,74.75,2.0,0.0
2024-08-01,13.5,0.0,73.25,4.0,0.0
2024-09-01,16.6,0.0,77.0,1.6,0.0
2024-10-01,16.75,0.0,78.75,0.0,0.0
2024-11-01,14.75,0.0,72.25,2.5,0.0
2024-12-01,12.4,0.0,77.6,3.8,0.0
2025-01-01,15.0,0.0,89.5,2.0,0.0
2025-02-01,17.0,0.0,84.25,2.0,0.0
2025-03-01,17.4,0.0,73.8,1.8,0.0
