time [UTC],Femfresh,Vagisil,Vush
2021-08-01,13.0,27.0,41.0
2021-09-01,11.0,22.75,39.25
2021-10-01,5.6,16.6,47.4
2021-11-01,6.25,16.5,65.25
2021-12-01,10.75,17.25,62.0
2022-01-01,8.6,17.0,48.0
2022-02-01,6.75,16.75,42.75
2022-03-01,13.5,21.5,30.75
2022-04-01,7.25,17.0,34.5
2022-05-01,11.0,14.8,42.2
2022-06-01,13.25,17.75,34.75
2022-07-01,14.2,19.0,53.0
2022-08-01,17.25,15.75,39.0
2022-09-01,19.25,15.0,33.5
2022-10-01,19.0,17.8,33.6
2022-11-01,14.25,14.5,61.0
2022-12-01,21.25,17.0,33.25
2023-01-01,17.0,18.6,35.0
2023-02-01,18.75,22.75,39.5
2023-03-01,19.0,16.0,30.25
2023-04-01,18.8,19.0,34.6
2023-05-01,18.25,16.0,37.0
2023-06-01,19.5,16.25,35.5
2023-07-01,18.0,15.4,36.8
2023-08-01,17.0,15.25,30.5
2023-09-01,18.0,15.25,26.75
2023-10-01,19.8,17.2,29.2
2023-11-01,20.0,12.5,43.75
2023-12-01,15.8,21.6,33.0
2024-01-01,19.25,13.0,30.5
2024-02-01,17.5,15.25,29.0
2024-03-01,19.2,18.4,32.6
2024-04-01,17.75,20.5,29.0
2024-05-01,20.5,16.75,26.5
2024-06-01,21.4,20.8,23.6
2024-07-01,18.75,27.5,25.75
2024-08-01,17.25,23.25,22.5
2024-09-01,21.4,20.4,23.6
2024-10-01,21.25,23.5,27.0
2024-11-01,19.0,18.0,37.0
2024-12-01,15.8,14.6,35.4
2025-01-01,18.75,22.25,22.5
2025-02-01,22.0,17.5,28.5
2025-03-01,22.2,23.0,24.6
