category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Feminine Hygiene Products (Female Only),Femfresh,2021-08-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2021-09-01,12.25,12.25,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2021-10-01,13.8,13.8,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2021-11-01,15.25,15.25,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2021-12-01,14.0,14.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-01-01,14.2,14.2,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-02-01,11.5,11.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-03-01,13.0,13.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-04-01,12.75,12.75,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-05-01,14.6,14.6,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-06-01,13.0,13.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-07-01,15.0,15.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-08-01,13.75,13.75,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-09-01,15.75,15.75,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-10-01,18.2,18.2,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-11-01,13.75,13.75,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2022-12-01,22.25,22.25,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-01-01,15.2,15.2,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-02-01,18.0,18.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-03-01,18.25,18.25,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-04-01,18.8,18.8,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-05-01,19.0,19.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-06-01,19.5,19.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-07-01,20.0,20.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-08-01,18.5,18.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-09-01,18.0,18.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-10-01,22.8,22.8,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-11-01,23.0,23.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2023-12-01,21.0,21.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-01-01,17.75,17.75,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-02-01,17.5,17.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-03-01,16.8,16.8,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-04-01,22.0,22.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-05-01,21.5,21.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-06-01,19.8,19.8,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-07-01,18.0,18.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-08-01,23.0,23.0,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-09-01,21.6,21.6,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-10-01,23.75,23.75,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-11-01,19.5,19.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2024-12-01,24.2,24.2,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2025-01-01,19.25,19.25,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2025-02-01,24.5,24.5,0,1.0,
Feminine Hygiene Products (Female Only),Femfresh,2025-03-01,23.4,23.4,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2021-08-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2021-09-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2021-10-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2021-11-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2021-12-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-01-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-02-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-03-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-04-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-05-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-06-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-07-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-08-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-09-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-10-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-11-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2022-12-01,0.0,0.0,0,1.0,
Feminine Hygiene Products (Female Only),Barely Intimate,2023-01-01,0.0,0.0,0,1.0,
