time [UTC],Dyson,Bissell,Hoover,Kärcher,Shark
2021-08-01,11.0,2.0,2.0,0.0,12.0
2021-09-01,11.5,2.75,1.5,0.0,13.25
2021-10-01,11.2,2.6,1.6,0.0,14.0
2021-11-01,17.75,2.75,1.75,0.0,14.5
2021-12-01,17.25,2.75,2.25,0.0,14.5
2022-01-01,14.8,2.8,2.2,0.0,14.8
2022-02-01,12.0,2.25,2.0,0.0,39.75
2022-03-01,11.5,3.25,2.0,0.0,14.5
2022-04-01,12.25,3.0,2.0,0.0,14.25
2022-05-01,12.6,2.6,2.0,0.0,13.2
2022-06-01,15.25,2.0,2.0,0.0,13.75
2022-07-01,13.6,2.0,2.2,0.0,14.4
2022-08-01,11.0,2.0,2.5,0.0,14.25
2022-09-01,11.0,2.0,2.0,0.0,13.0
2022-10-01,12.0,2.0,2.4,0.0,13.0
2022-11-01,18.0,2.25,2.0,0.0,14.75
2022-12-01,17.75,2.5,2.5,0.0,15.75
2023-01-01,13.4,2.2,3.0,0.0,20.6
2023-02-01,10.0,2.0,2.0,0.0,22.5
2023-03-01,10.0,2.0,2.0,0.0,16.5
2023-04-01,11.6,2.0,2.0,0.0,14.6
2023-05-01,14.75,2.0,2.0,0.0,15.25
2023-06-01,15.0,2.0,2.0,0.0,17.0
2023-07-01,11.4,2.0,2.0,0.0,16.0
2023-08-01,11.25,2.0,2.0,0.0,17.0
2023-09-01,11.0,2.0,2.0,0.0,17.5
2023-10-01,10.6,2.0,2.0,0.0,17.6
2023-11-01,21.25,2.25,2.0,0.0,18.75
2023-12-01,18.4,2.6,2.4,0.0,20.6
2024-01-01,12.25,2.0,2.25,0.0,22.75
2024-02-01,11.25,2.0,2.0,0.0,18.75
2024-03-01,11.0,2.0,2.0,0.0,17.0
2024-04-01,12.0,2.0,2.0,0.0,14.5
2024-05-01,12.5,2.0,2.0,0.0,15.0
2024-06-01,15.0,2.0,2.0,0.0,16.6
2024-07-01,15.0,2.0,2.0,0.0,15.25
2024-08-01,12.5,1.75,2.75,0.0,15.5
2024-09-01,11.8,2.0,2.0,0.0,14.6
2024-10-01,13.75,2.0,1.5,0.0,19.5
2024-11-01,23.5,2.25,1.5,0.0,23.25
2024-12-01,20.4,2.4,1.8,0.0,26.4
2025-01-01,12.75,2.0,2.0,0.0,24.5
2025-02-01,11.25,2.0,1.75,0.0,27.0
2025-03-01,12.0,1.8,1.8,0.0,23.6
