time [UTC],Lilydale,Macro
2021-08-01,57.0,31.0
2021-09-01,60.0,28.0
2021-10-01,64.0,26.8
2021-11-01,67.75,24.75
2021-12-01,71.5,21.75
2022-01-01,67.0,33.2
2022-02-01,62.0,35.5
2022-03-01,57.75,34.0
2022-04-01,57.5,31.75
2022-05-01,58.0,31.2
2022-06-01,56.0,33.25
2022-07-01,56.2,31.4
2022-08-01,55.5,35.5
2022-09-01,53.75,37.25
2022-10-01,67.4,38.4
2022-11-01,62.5,34.25
2022-12-01,63.25,34.25
2023-01-01,65.2,44.0
2023-02-01,59.0,39.75
2023-03-01,57.5,31.0
2023-04-01,59.4,30.0
2023-05-01,56.0,33.5
2023-06-01,52.5,27.0
2023-07-01,50.8,28.4
2023-08-01,53.5,30.25
2023-09-01,54.5,29.0
2023-10-01,54.8,29.0
2023-11-01,59.25,28.75
2023-12-01,62.2,28.6
2024-01-01,58.75,30.0
2024-02-01,56.5,29.25
2024-03-01,52.6,28.2
2024-04-01,52.5,29.25
2024-05-01,50.25,30.5
2024-06-01,51.2,28.8
2024-07-01,50.25,30.0
2024-08-01,49.0,31.5
2024-09-01,51.8,33.8
2024-10-01,53.25,29.5
2024-11-01,55.5,27.5
2024-12-01,55.2,23.2
2025-01-01,56.25,25.75
2025-02-01,55.25,26.75
2025-03-01,48.8,23.8
