category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Fresh Meat & Poultry,Lilydale,2021-08-01,57.0,57.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2021-09-01,60.0,60.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2021-10-01,64.0,64.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2021-11-01,67.75,67.75,0,1.0,
Fresh Meat & Poultry,Lilydale,2021-12-01,71.5,71.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-01-01,67.0,67.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-02-01,62.0,62.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-03-01,57.75,57.75,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-04-01,57.5,57.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-05-01,58.0,58.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-06-01,56.0,56.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-07-01,56.2,56.2,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-08-01,55.5,55.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-09-01,53.75,53.75,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-10-01,67.4,67.4,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-11-01,62.5,62.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2022-12-01,63.25,63.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-01-01,65.2,65.2,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-02-01,59.0,59.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-03-01,57.5,57.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-04-01,59.4,59.4,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-05-01,56.0,56.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-06-01,52.5,52.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-07-01,50.8,50.8,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-08-01,53.5,53.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-09-01,54.5,54.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-10-01,54.8,54.8,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-11-01,59.25,59.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2023-12-01,62.2,62.2,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-01-01,58.75,58.75,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-02-01,56.5,56.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-03-01,52.6,52.6,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-04-01,52.5,52.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-05-01,50.25,50.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-06-01,51.2,51.2,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-07-01,50.25,50.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-08-01,49.0,49.0,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-09-01,51.8,51.8,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-10-01,53.25,53.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-11-01,55.5,55.5,0,1.0,
Fresh Meat & Poultry,Lilydale,2024-12-01,55.2,55.2,0,1.0,
Fresh Meat & Poultry,Lilydale,2025-01-01,56.25,56.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2025-02-01,55.25,55.25,0,1.0,
Fresh Meat & Poultry,Lilydale,2025-03-01,48.8,48.8,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2021-08-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2021-09-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2021-10-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2021-11-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2021-12-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-01-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-02-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-03-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-04-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-05-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-06-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-07-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-08-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-09-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-10-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-11-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2022-12-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-01-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-02-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-03-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-04-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-05-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-06-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-07-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-08-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-09-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-10-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-11-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2023-12-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2024-01-01,0.0,0.0,0,1.0,
Fresh Meat & Poultry,Cleaver's Organic,2024-02-01,0.0,0.0,0,1.0,
