time [UTC],Dairy Farmers,Farmhouse Gold,Norco,PURA,Pauls
2021-08-01,6.0,0.0,77.0,12.0,67.0
2021-09-01,6.5,0.0,74.0,13.25,52.75
2021-10-01,5.0,0.0,68.2,14.2,59.2
2021-11-01,7.0,0.0,61.25,12.0,63.0
2021-12-01,7.25,0.0,55.0,12.75,67.25
2022-01-01,6.8,0.4,59.4,12.2,63.6
2022-02-01,6.75,0.5,54.25,11.25,60.5
2022-03-01,7.25,1.25,51.0,14.5,51.75
2022-04-01,7.75,0.5,53.5,13.5,54.0
2022-05-01,6.6,0.0,45.6,13.2,63.6
2022-06-01,6.25,0.0,44.5,12.5,57.0
2022-07-01,7.8,0.0,46.6,13.2,59.8
2022-08-01,8.75,0.0,46.25,14.5,56.25
2022-09-01,6.5,0.0,52.5,12.5,55.5
2022-10-01,7.6,0.4,50.4,13.8,55.0
2022-11-01,6.25,0.0,47.0,14.25,55.25
2022-12-01,5.5,0.0,49.0,15.25,54.5
2023-01-01,6.8,0.0,46.0,15.6,54.8
2023-02-01,7.0,0.5,46.5,15.0,61.75
2023-03-01,6.75,0.0,41.5,14.25,56.25
2023-04-01,7.2,0.0,49.4,14.8,58.0
2023-05-01,7.0,0.0,41.75,16.5,60.25
2023-06-01,7.25,0.0,44.0,17.5,56.0
2023-07-01,8.8,0.0,45.6,16.4,54.8
2023-08-01,7.75,0.5,45.25,17.75,64.5
2023-09-01,7.75,0.75,45.75,16.0,62.75
2023-10-01,9.8,0.0,49.4,17.0,55.2
2023-11-01,7.25,0.0,53.25,22.25,56.5
2023-12-01,5.6,0.4,47.0,20.0,55.4
2024-01-01,7.25,0.0,41.5,20.75,53.0
2024-02-01,7.25,0.75,50.0,20.5,60.75
2024-03-01,7.4,0.0,43.4,20.4,64.6
2024-04-01,7.75,0.0,42.75,23.0,55.5
2024-05-01,7.25,0.0,43.75,21.75,59.75
2024-06-01,7.2,0.6,40.0,20.2,56.4
2024-07-01,6.75,0.5,37.5,18.0,61.75
2024-08-01,7.0,0.5,45.75,18.0,66.0
2024-09-01,7.8,0.6,42.8,20.4,62.4
2024-10-01,7.75,0.5,44.5,18.75,71.5
2024-11-01,7.25,0.75,44.5,21.0,74.25
2024-12-01,6.0,1.0,46.0,22.0,62.6
2025-01-01,7.0,0.0,43.25,19.0,65.5
2025-02-01,6.25,0.0,45.75,18.75,71.5
2025-03-01,7.0,0.4,43.8,21.6,68.0
