time [UTC],Dairy Farmers,Zymil,a2 Milk
2021-08-01,8.0,8.0,49.0
2021-09-01,9.25,6.75,42.25
2021-10-01,7.0,4.2,60.4
2021-11-01,10.0,5.75,34.0
2021-12-01,10.25,5.75,25.25
2022-01-01,9.4,6.4,29.2
2022-02-01,10.0,5.25,30.25
2022-03-01,10.75,6.0,25.25
2022-04-01,11.5,5.75,25.75
2022-05-01,9.4,5.6,33.4
2022-06-01,9.5,5.5,26.5
2022-07-01,11.4,6.4,33.0
2022-08-01,12.5,6.0,38.75
2022-09-01,9.75,4.75,30.5
2022-10-01,11.0,6.2,30.8
2022-11-01,9.0,5.5,34.75
2022-12-01,8.25,7.5,24.5
2023-01-01,10.0,6.0,26.8
2023-02-01,10.25,6.0,31.25
2023-03-01,9.5,6.5,32.25
2023-04-01,10.2,6.6,28.6
2023-05-01,10.0,8.25,31.0
2023-06-01,10.5,7.0,29.75
2023-07-01,12.6,5.8,27.0
2023-08-01,11.25,6.0,32.0
2023-09-01,11.0,5.0,27.75
2023-10-01,14.2,3.6,27.8
2023-11-01,10.25,4.75,24.25
2023-12-01,8.2,2.8,23.2
2024-01-01,10.25,5.25,24.5
2024-02-01,10.75,5.0,29.75
2024-03-01,10.8,5.6,28.8
2024-04-01,11.25,5.25,29.5
2024-05-01,10.75,4.75,28.75
2024-06-01,10.6,6.2,27.8
2024-07-01,9.25,4.75,27.25
2024-08-01,9.75,4.75,28.75
2024-09-01,11.6,4.6,31.6
2024-10-01,11.0,5.5,24.0
2024-11-01,10.5,5.75,26.75
2024-12-01,9.0,6.0,24.8
2025-01-01,10.0,5.5,26.0
2025-02-01,9.25,2.0,30.5
2025-03-01,10.0,4.0,28.0
