time [UTC],Ikea,Freedom,Koala,Lounge Lovers,Nick Scali
2021-08-01,62.0,18.0,10.0,1.0,3.0
2021-09-01,67.75,22.0,10.25,1.0,3.25
2021-10-01,68.4,22.4,9.8,1.0,4.2
2021-11-01,71.5,21.0,11.0,1.5,4.75
2021-12-01,74.25,18.75,11.25,1.25,4.0
2022-01-01,86.4,20.0,10.8,1.8,5.0
2022-02-01,76.5,18.0,10.75,1.0,3.5
2022-03-01,70.0,17.5,10.75,1.0,4.0
2022-04-01,75.25,17.0,10.75,1.75,4.25
2022-05-01,62.8,17.8,11.6,1.2,4.2
2022-06-01,66.5,18.0,12.25,2.0,5.0
2022-07-01,68.4,15.8,11.2,2.0,3.8
2022-08-01,68.0,16.0,12.0,1.5,3.75
2022-09-01,67.5,16.25,11.5,1.25,3.75
2022-10-01,64.2,17.6,11.0,1.0,3.2
2022-11-01,62.5,17.75,12.0,1.5,3.5
2022-12-01,69.0,15.75,12.5,1.25,3.75
2023-01-01,75.8,17.0,12.6,1.2,4.6
2023-02-01,60.5,14.25,11.0,1.0,2.75
2023-03-01,57.25,15.25,11.75,1.0,3.0
2023-04-01,65.2,15.2,10.6,1.0,3.2
2023-05-01,55.5,16.75,11.0,1.0,3.25
2023-06-01,60.5,16.25,11.75,1.25,4.0
2023-07-01,60.8,28.4,11.2,1.0,3.0
2023-08-01,56.75,23.5,12.0,1.0,3.0
2023-09-01,58.25,19.75,11.5,1.0,3.0
2023-10-01,58.4,17.0,11.0,1.0,3.0
2023-11-01,64.0,16.5,12.25,1.25,3.5
2023-12-01,72.6,16.2,12.8,1.2,3.8
2024-01-01,72.5,15.75,11.0,1.0,3.75
2024-02-01,59.75,14.75,11.0,1.0,2.75
2024-03-01,62.0,14.8,11.8,1.0,3.0
2024-04-01,64.25,15.25,11.25,1.0,3.0
2024-05-01,60.0,16.0,11.75,1.0,3.0
2024-06-01,67.2,16.8,14.0,1.8,3.8
2024-07-01,66.0,14.75,11.5,1.0,3.0
2024-08-01,59.0,14.75,12.5,1.0,3.0
2024-09-01,61.2,15.4,12.8,1.0,3.0
2024-10-01,60.75,16.25,13.0,1.0,3.0
2024-11-01,64.0,17.0,14.5,2.0,3.5
2024-12-01,72.8,15.8,14.2,1.4,3.4
2025-01-01,75.0,15.75,11.75,1.0,3.25
2025-02-01,63.75,14.25,11.25,1.0,2.75
2025-03-01,58.2,14.2,12.2,1.0,2.8
