time [UTC],Yates,BioGuano,Brunnings,Garden Basics,Neutrog
2021-08-01,78.0,0.0,16.0,0.0,6.0
2021-09-01,80.5,0.0,14.25,1.0,3.25
2021-10-01,69.8,0.0,11.0,2.2,1.0
2021-11-01,76.5,0.0,9.25,0.0,0.0
2021-12-01,57.75,0.0,8.0,0.0,1.0
2022-01-01,66.6,0.0,9.8,0.0,1.4
2022-02-01,62.75,0.0,7.75,0.0,1.5
2022-03-01,58.0,0.0,8.25,1.5,2.0
2022-04-01,60.5,0.0,6.5,0.75,0.5
2022-05-01,56.0,0.0,5.0,0.0,0.8
2022-06-01,51.25,0.0,2.75,0.0,0.75
2022-07-01,50.4,0.0,5.2,0.0,2.6
2022-08-01,59.0,0.0,8.0,0.0,3.0
2022-09-01,66.5,0.0,12.5,1.5,2.5
2022-10-01,74.6,0.0,9.6,0.0,2.6
2022-11-01,61.25,0.0,8.5,0.0,2.5
2022-12-01,57.75,0.0,8.75,0.0,0.75
2023-01-01,64.6,0.0,8.0,1.8,3.4
2023-02-01,63.25,0.0,7.25,0.0,1.5
2023-03-01,68.25,0.0,6.75,1.5,1.5
2023-04-01,52.0,0.0,5.6,0.8,1.8
2023-05-01,54.5,0.0,3.0,0.0,0.75
2023-06-01,53.0,0.0,5.0,0.0,0.0
2023-07-01,56.6,0.0,6.2,0.8,2.4
2023-08-01,61.0,0.0,8.25,0.0,3.0
2023-09-01,72.25,0.0,12.5,1.5,4.5
2023-10-01,64.6,0.0,9.2,1.2,2.6
2023-11-01,58.25,0.0,9.25,1.25,2.0
2023-12-01,59.6,0.0,7.6,1.6,2.2
2024-01-01,62.75,0.0,9.0,2.25,1.75
2024-02-01,64.75,0.0,6.25,2.5,1.0
2024-03-01,57.4,0.0,7.4,0.0,0.8
2024-04-01,53.0,0.0,5.75,1.25,1.0
2024-05-01,49.75,0.0,4.25,0.0,0.75
2024-06-01,50.8,0.0,3.6,0.6,0.0
2024-07-01,57.5,0.0,5.5,0.0,1.0
2024-08-01,61.75,0.0,8.75,1.75,2.75
2024-09-01,65.4,0.0,12.8,3.0,4.4
2024-10-01,76.5,0.0,11.75,3.25,2.75
2024-11-01,66.0,0.0,10.25,2.25,2.5
2024-12-01,63.0,0.0,8.6,3.6,1.6
2025-01-01,65.25,0.0,10.5,2.5,3.5
2025-02-01,63.75,0.0,8.75,3.5,2.75
2025-03-01,59.6,0.0,8.2,1.2,2.8
