time [UTC],Yates,PowerFeed,Richgro,Scotts,Seasol
2021-08-01,18.0,0.0,12.0,33.0,68.0
2021-09-01,19.75,0.0,21.75,44.75,75.25
2021-10-01,28.6,0.0,19.8,35.6,79.6
2021-11-01,26.5,0.0,9.5,28.25,67.25
2021-12-01,24.25,0.0,10.75,22.0,58.0
2022-01-01,33.6,0.0,14.6,26.4,60.0
2022-02-01,26.0,0.0,9.0,24.75,51.5
2022-03-01,14.5,0.0,7.25,29.5,41.5
2022-04-01,16.5,0.0,6.75,21.75,37.75
2022-05-01,13.8,0.0,2.8,12.0,25.2
2022-06-01,2.25,0.0,0.0,10.75,24.75
2022-07-01,16.2,0.0,1.6,10.6,23.8
2022-08-01,8.0,0.0,6.25,15.75,31.75
2022-09-01,9.25,0.0,9.25,29.0,52.25
2022-10-01,12.6,0.0,10.6,24.0,57.0
2022-11-01,18.25,0.0,11.25,18.0,53.75
2022-12-01,13.5,0.0,7.0,17.75,59.25
2023-01-01,12.4,0.0,8.8,21.2,58.8
2023-02-01,15.0,0.0,10.5,21.0,48.25
2023-03-01,22.25,0.0,11.0,32.0,24.5
2023-04-01,16.8,0.0,1.6,22.4,17.6
2023-05-01,11.75,2.0,1.75,15.75,16.25
2023-06-01,12.0,0.0,0.0,14.0,12.5
2023-07-01,13.8,0.0,1.8,18.8,18.6
2023-08-01,31.75,0.0,2.25,25.25,22.75
2023-09-01,43.25,0.0,6.5,45.5,44.5
2023-10-01,43.6,0.0,3.0,37.6,44.2
2023-11-01,32.25,0.0,4.5,33.25,42.0
2023-12-01,30.2,0.0,5.4,26.0,30.2
2024-01-01,25.5,0.0,6.75,27.25,28.75
2024-02-01,26.0,0.0,10.75,24.5,31.5
2024-03-01,29.2,0.0,10.2,27.4,26.0
2024-04-01,19.5,0.0,6.0,27.0,19.25
2024-05-01,13.5,0.0,0.0,23.0,14.75
2024-06-01,7.2,0.0,0.0,16.8,14.0
2024-07-01,15.75,0.0,0.0,18.5,14.5
2024-08-01,25.75,0.0,2.25,28.25,22.5
2024-09-01,35.6,0.0,11.6,41.8,41.4
2024-10-01,45.25,0.0,10.75,38.5,35.5
2024-11-01,41.0,0.0,10.25,31.5,41.75
2024-12-01,33.4,0.0,1.8,32.2,35.8
2025-01-01,40.25,0.0,4.25,26.25,37.75
2025-02-01,38.0,0.0,8.75,27.75,29.5
2025-03-01,31.0,0.0,9.4,26.2,20.2
