time [UTC],Palmolive,BondiBoost,Fruits,Garnier Fructis,Georgiemane
2021-08-01,2.0,0.0,22.0,0.0,0.0
2021-09-01,2.0,0.0,24.0,0.25,0.0
2021-10-01,1.4,0.6,21.6,0.0,0.0
2021-11-01,2.0,0.25,19.25,0.0,0.25
2021-12-01,1.25,0.5,19.5,0.0,0.0
2022-01-01,2.2,0.2,22.8,0.2,0.4
2022-02-01,2.25,0.25,21.25,0.0,0.75
2022-03-01,2.0,0.0,25.0,0.25,0.5
2022-04-01,2.25,0.75,28.25,0.5,0.75
2022-05-01,2.2,0.4,27.4,0.2,0.8
2022-06-01,2.0,0.25,26.25,0.5,0.5
2022-07-01,2.0,0.6,25.8,0.0,1.0
2022-08-01,2.0,0.0,26.0,0.5,1.0
2022-09-01,2.0,0.25,44.5,0.25,1.0
2022-10-01,2.0,0.0,43.4,0.2,1.0
2022-11-01,2.0,0.5,41.25,0.25,1.0
2022-12-01,2.0,0.25,43.5,0.5,1.0
2023-01-01,2.0,0.0,43.8,0.4,1.0
2023-02-01,2.0,0.0,41.25,0.5,1.5
2023-03-01,2.0,0.0,41.5,0.25,1.25
2023-04-01,2.4,0.2,47.2,0.4,1.4
2023-05-01,2.25,0.0,43.0,0.25,1.25
2023-06-01,2.5,0.0,41.0,1.0,1.75
2023-07-01,2.6,0.0,41.4,0.6,2.0
2023-08-01,2.5,0.0,42.75,0.25,1.75
2023-09-01,2.5,0.25,49.75,0.75,1.75
2023-10-01,2.6,0.2,59.6,0.6,1.4
2023-11-01,2.5,0.75,59.0,0.25,1.5
2023-12-01,2.6,0.4,62.6,0.2,1.2
2024-01-01,3.0,0.0,53.25,0.5,1.25
2024-02-01,2.5,0.25,48.25,0.5,1.25
2024-03-01,3.0,0.6,49.4,0.4,1.0
2024-04-01,2.75,0.0,53.75,0.5,1.0
2024-05-01,3.0,0.25,51.5,0.5,1.0
2024-06-01,2.6,0.0,51.4,0.8,1.2
2024-07-01,2.75,0.25,48.0,0.25,1.0
2024-08-01,2.75,0.25,46.25,0.5,1.0
2024-09-01,2.8,0.0,47.0,0.4,1.0
2024-10-01,3.0,0.25,43.75,0.5,1.0
2024-11-01,2.5,0.75,40.5,0.5,1.25
2024-12-01,2.8,0.6,69.4,0.2,1.0
2025-01-01,3.0,0.0,57.75,1.0,1.0
2025-02-01,2.75,0.0,43.25,0.75,1.0
2025-03-01,2.8,0.0,36.8,0.8,1.0
