time [UTC],Palmolive,Glow Lab,Herbal Essences,MONDAY,My Soda
2021-08-01,1.0,1.0,0.0,27.0,1.0
2021-09-01,1.0,0.75,0.0,31.5,0.75
2021-10-01,1.0,0.6,0.0,31.2,0.6
2021-11-01,1.0,0.75,0.0,37.75,0.25
2021-12-01,1.0,0.25,0.0,29.75,0.75
2022-01-01,1.6,0.8,0.0,25.2,0.8
2022-02-01,2.0,0.75,0.0,27.25,0.75
2022-03-01,1.5,0.75,0.0,29.5,0.5
2022-04-01,1.5,0.5,0.0,53.0,1.0
2022-05-01,1.6,0.4,0.0,26.2,0.6
2022-06-01,1.0,0.5,0.25,29.25,1.0
2022-07-01,1.2,0.8,0.2,26.6,0.8
2022-08-01,1.0,0.75,0.0,30.0,1.0
2022-09-01,1.75,1.0,0.0,39.75,0.5
2022-10-01,1.6,0.6,0.2,29.8,0.6
2022-11-01,1.25,0.0,0.0,39.75,0.5
2022-12-01,1.75,0.75,0.0,27.5,1.0
2023-01-01,1.6,0.8,0.6,28.6,1.0
2023-02-01,2.0,1.0,0.0,29.0,1.0
2023-03-01,2.0,1.0,0.25,34.5,1.0
2023-04-01,2.0,1.0,0.4,50.2,1.0
2023-05-01,2.0,0.75,0.25,27.25,1.0
2023-06-01,2.0,1.0,0.0,32.0,1.0
2023-07-01,1.8,1.0,0.0,28.6,1.0
2023-08-01,1.5,1.0,0.25,30.5,1.0
2023-09-01,1.75,1.0,0.0,36.25,1.0
2023-10-01,2.0,0.8,0.6,31.6,0.8
2023-11-01,2.0,0.5,0.25,39.75,1.0
2023-12-01,2.0,1.0,0.2,23.4,1.0
2024-01-01,2.0,1.0,0.25,29.25,1.0
2024-02-01,2.0,0.75,0.5,30.25,1.0
2024-03-01,2.0,1.0,0.2,53.4,1.0
2024-04-01,2.0,0.75,0.0,29.25,1.0
2024-05-01,2.0,1.0,0.0,28.0,1.0
2024-06-01,2.0,1.0,0.2,28.8,1.0
2024-07-01,2.0,1.0,0.25,24.5,1.0
2024-08-01,2.0,1.0,0.0,26.0,1.0
2024-09-01,2.0,1.0,0.2,31.4,1.0
2024-10-01,2.0,1.0,0.0,30.75,1.0
2024-11-01,2.0,1.0,0.25,32.5,1.0
2024-12-01,2.0,1.0,0.0,32.2,1.0
2025-01-01,2.0,1.0,0.25,33.75,1.0
2025-02-01,2.25,1.0,0.5,28.75,1.0
2025-03-01,2.0,1.0,0.2,35.2,1.0
