time [UTC],Palmolive,Thanks To Nature
2021-08-01,45.0,0.0
2021-09-01,47.75,0.0
2021-10-01,38.6,0.0
2021-11-01,41.5,0.0
2021-12-01,39.5,0.0
2022-01-01,58.8,0.0
2022-02-01,60.25,0.0
2022-03-01,55.25,0.0
2022-04-01,58.25,0.0
2022-05-01,57.6,0.0
2022-06-01,46.25,0.0
2022-07-01,48.6,0.0
2022-08-01,54.75,0.0
2022-09-01,54.75,0.0
2022-10-01,52.6,0.0
2022-11-01,55.75,0.0
2022-12-01,55.5,0.0
2023-01-01,54.6,0.0
2023-02-01,60.0,0.0
2023-03-01,64.5,0.0
2023-04-01,64.2,1.6
2023-05-01,65.0,2.0
2023-06-01,68.5,2.5
2023-07-01,74.4,1.6
2023-08-01,65.0,5.0
2023-09-01,68.25,10.25
2023-10-01,72.6,3.6
2023-11-01,67.0,3.25
2023-12-01,74.4,2.2
2024-01-01,80.0,6.25
2024-02-01,75.0,8.75
2024-03-01,73.6,9.4
2024-04-01,75.5,8.0
2024-05-01,76.25,14.25
2024-06-01,64.2,9.2
2024-07-01,69.25,11.75
2024-08-01,73.75,11.0
2024-09-01,73.4,10.2
2024-10-01,79.5,9.25
2024-11-01,72.25,13.0
2024-12-01,75.4,7.6
2025-01-01,83.75,12.0
2025-02-01,82.5,15.75
2025-03-01,79.8,18.8
