time [UTC],Bundaberg,LoBros,Naked Life,Nexba,Remedy
2021-08-01,68.0,0.0,0.0,1.0,12.0
2021-09-01,70.75,0.0,0.25,0.75,13.0
2021-10-01,74.4,0.0,0.4,1.0,13.4
2021-11-01,80.5,0.0,1.0,0.75,12.5
2021-12-01,88.5,0.0,1.0,0.75,13.5
2022-01-01,71.6,0.0,0.4,1.0,15.0
2022-02-01,68.0,0.0,0.75,1.0,13.0
2022-03-01,66.5,0.0,0.0,0.5,14.0
2022-04-01,73.25,0.0,0.0,0.0,14.25
2022-05-01,76.4,0.0,0.0,0.4,14.8
2022-06-01,70.5,0.0,0.25,0.0,15.5
2022-07-01,70.0,0.0,1.0,1.0,15.2
2022-08-01,69.75,0.0,0.5,0.75,14.75
2022-09-01,71.75,0.0,0.5,0.25,15.0
2022-10-01,70.2,0.0,0.4,0.4,14.4
2022-11-01,65.0,0.0,0.5,0.25,14.0
2022-12-01,79.0,0.0,1.0,0.25,14.75
2023-01-01,71.2,0.0,1.0,0.4,14.4
2023-02-01,65.0,0.0,1.0,0.25,13.5
2023-03-01,66.25,0.0,0.75,0.25,13.5
2023-04-01,66.6,0.0,0.8,0.0,14.4
2023-05-01,62.75,0.0,1.0,0.0,15.5
2023-06-01,62.25,0.0,0.25,0.0,15.5
2023-07-01,64.4,0.0,0.6,0.4,14.6
2023-08-01,63.0,0.0,0.0,0.25,14.75
2023-09-01,65.75,0.0,0.25,0.0,15.25
2023-10-01,62.2,0.0,0.4,0.4,14.8
2023-11-01,65.75,0.0,0.75,0.0,14.25
2023-12-01,77.4,0.0,0.4,0.0,14.8
2024-01-01,65.75,0.0,1.0,0.0,15.5
2024-02-01,54.25,0.0,0.75,0.0,14.25
2024-03-01,59.6,0.0,0.4,0.2,14.0
2024-04-01,57.75,0.0,0.25,0.0,15.0
2024-05-01,56.0,0.0,0.0,0.0,15.5
2024-06-01,57.2,0.0,0.0,0.2,14.6
2024-07-01,58.5,0.0,0.25,0.0,14.75
2024-08-01,59.5,0.0,0.0,0.0,14.5
2024-09-01,55.4,0.0,0.6,0.2,14.8
2024-10-01,55.5,0.0,0.0,0.0,14.75
2024-11-01,54.25,0.0,0.0,0.0,14.25
2024-12-01,62.4,0.0,0.8,0.0,14.6
2025-01-01,55.25,0.0,0.75,0.0,14.75
2025-02-01,53.75,0.0,0.5,0.0,14.75
2025-03-01,52.2,0.0,0.8,0.0,13.6
