time [UTC],Bundaberg,SORTED.,Shine,Ārepa
2021-08-01,68.0,0.0,16.0,0.0
2021-09-01,70.75,0.0,16.5,0.0
2021-10-01,74.4,0.0,16.6,0.0
2021-11-01,80.5,0.0,16.75,0.0
2021-12-01,88.5,0.0,16.5,0.0
2022-01-01,71.6,0.0,16.0,0.0
2022-02-01,68.0,0.0,17.0,0.0
2022-03-01,66.5,0.0,17.0,0.0
2022-04-01,73.25,0.0,16.75,0.0
2022-05-01,76.4,0.0,16.4,0.0
2022-06-01,70.5,0.0,17.25,0.0
2022-07-01,70.0,0.0,17.4,0.0
2022-08-01,69.75,0.0,18.0,0.0
2022-09-01,71.75,0.0,17.25,0.0
2022-10-01,70.2,0.0,17.0,0.0
2022-11-01,65.0,0.0,17.75,0.0
2022-12-01,79.0,0.0,19.0,0.0
2023-01-01,71.2,0.0,20.2,0.0
2023-02-01,65.0,0.0,18.75,0.0
2023-03-01,66.25,0.0,18.75,0.0
2023-04-01,66.6,0.0,18.6,0.0
2023-05-01,62.75,0.0,17.5,0.0
2023-06-01,62.25,0.0,17.25,0.0
2023-07-01,64.4,0.0,17.0,0.0
2023-08-01,63.0,0.0,17.0,0.0
2023-09-01,65.75,0.0,17.0,0.0
2023-10-01,62.2,0.0,16.8,0.0
2023-11-01,65.75,0.0,17.5,0.0
2023-12-01,77.4,0.0,16.2,0.0
2024-01-01,65.75,0.0,17.0,0.0
2024-02-01,54.25,0.0,17.0,0.0
2024-03-01,59.6,0.0,16.8,0.0
2024-04-01,57.75,0.0,16.75,0.0
2024-05-01,56.0,0.0,16.5,0.0
2024-06-01,57.2,0.0,16.6,0.0
2024-07-01,58.5,0.0,16.25,0.0
2024-08-01,59.5,0.0,17.75,0.0
2024-09-01,55.4,0.0,17.2,0.0
2024-10-01,55.5,0.0,17.5,0.0
2024-11-01,54.25,0.0,16.5,0.0
2024-12-01,62.4,0.0,16.0,0.0
2025-01-01,55.25,0.0,16.5,0.0
2025-02-01,53.75,0.0,17.5,0.0
2025-03-01,52.2,0.0,17.4,0.0
