category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Healthy Beverages,Bundaberg,2021-08-01,14.0,14.0,0,1.0,
Healthy Beverages,Bundaberg,2021-09-01,20.25,20.25,0,1.0,
Healthy Beverages,Bundaberg,2021-10-01,24.6,24.6,0,1.0,
Healthy Beverages,Bundaberg,2021-11-01,30.25,30.25,0,1.0,
Healthy Beverages,Bundaberg,2021-12-01,63.25,63.25,0,1.0,
Healthy Beverages,Bundaberg,2022-01-01,42.8,42.8,0,1.0,
Healthy Beverages,Bundaberg,2022-02-01,28.5,28.5,0,1.0,
Healthy Beverages,Bundaberg,2022-03-01,26.25,26.25,0,1.0,
Healthy Beverages,Bundaberg,2022-04-01,57.25,57.25,0,1.0,
Healthy Beverages,Bundaberg,2022-05-01,55.8,55.8,0,1.0,
Healthy Beverages,Bundaberg,2022-06-01,27.5,27.5,0,1.0,
Healthy Beverages,Bundaberg,2022-07-01,27.2,27.2,0,1.0,
Healthy Beverages,Bundaberg,2022-08-01,26.0,26.0,0,1.0,
Healthy Beverages,Bundaberg,2022-09-01,27.25,27.25,0,1.0,
Healthy Beverages,Bundaberg,2022-10-01,26.8,26.8,0,1.0,
Healthy Beverages,Bundaberg,2022-11-01,64.75,64.75,0,1.0,
Healthy Beverages,Bundaberg,2022-12-01,52.5,52.5,0,1.0,
Healthy Beverages,Bundaberg,2023-01-01,38.2,38.2,0,1.0,
Healthy Beverages,Bundaberg,2023-02-01,45.75,45.75,0,1.0,
Healthy Beverages,Bundaberg,2023-03-01,74.5,74.5,0,1.0,
Healthy Beverages,Bundaberg,2023-04-01,78.6,78.6,0,1.0,
Healthy Beverages,Bundaberg,2023-05-01,77.5,77.5,0,1.0,
Healthy Beverages,Bundaberg,2023-06-01,93.5,93.5,0,1.0,
Healthy Beverages,Bundaberg,2023-07-01,80.0,80.0,0,1.0,
Healthy Beverages,Bundaberg,2023-08-01,85.0,85.0,0,1.0,
Healthy Beverages,Bundaberg,2023-09-01,83.25,83.25,0,1.0,
Healthy Beverages,Bundaberg,2023-10-01,74.8,74.8,0,1.0,
Healthy Beverages,Bundaberg,2023-11-01,74.0,74.0,0,1.0,
Healthy Beverages,Bundaberg,2023-12-01,68.2,68.2,0,1.0,
Healthy Beverages,Bundaberg,2024-01-01,42.0,42.0,0,1.0,
Healthy Beverages,Bundaberg,2024-02-01,29.0,29.0,0,1.0,
Healthy Beverages,Bundaberg,2024-03-01,25.8,25.8,0,1.0,
Healthy Beverages,Bundaberg,2024-04-01,25.5,25.5,0,1.0,
Healthy Beverages,Bundaberg,2024-05-01,24.0,24.0,0,1.0,
Healthy Beverages,Bundaberg,2024-06-01,22.6,22.6,0,1.0,
Healthy Beverages,Bundaberg,2024-07-01,21.0,21.0,0,1.0,
Healthy Beverages,Bundaberg,2024-08-01,59.75,59.75,0,1.0,
Healthy Beverages,Bundaberg,2024-09-01,33.6,33.6,0,1.0,
Healthy Beverages,Bundaberg,2024-10-01,34.0,34.0,0,1.0,
Healthy Beverages,Bundaberg,2024-11-01,36.5,36.5,0,1.0,
Healthy Beverages,Bundaberg,2024-12-01,66.6,66.6,0,1.0,
Healthy Beverages,Bundaberg,2025-01-01,42.5,42.5,0,1.0,
Healthy Beverages,Bundaberg,2025-02-01,34.0,34.0,0,1.0,
Healthy Beverages,Bundaberg,2025-03-01,35.8,35.8,0,1.0,
Healthy Beverages,LoBros,2021-08-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2021-09-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2021-10-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2021-11-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2021-12-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-01-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-02-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-03-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-04-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-05-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-06-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-07-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-08-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-09-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-10-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-11-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2022-12-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-01-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-02-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-03-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-04-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-05-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-06-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-07-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-08-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-09-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-10-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-11-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2023-12-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-01-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-02-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-03-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-04-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-05-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-06-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-07-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-08-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-09-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-10-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-11-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2024-12-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2025-01-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2025-02-01,0.0,0.0,0,1.0,
Healthy Beverages,LoBros,2025-03-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2021-08-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2021-09-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2021-10-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2021-11-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2021-12-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-01-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-02-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-03-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-04-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-05-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-06-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-07-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-08-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-09-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-10-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2022-11-01,3.5,3.5,0,1.0,
Healthy Beverages,Naked Life,2022-12-01,5.5,5.5,0,1.0,
Healthy Beverages,Naked Life,2023-01-01,3.2,3.2,0,1.0,
Healthy Beverages,Naked Life,2023-02-01,3.25,3.25,0,1.0,
Healthy Beverages,Naked Life,2023-03-01,1.0,1.0,0,1.0,
Healthy Beverages,Naked Life,2023-04-01,0.8,0.8,0,1.0,
Healthy Beverages,Naked Life,2023-05-01,1.25,1.25,0,1.0,
Healthy Beverages,Naked Life,2023-06-01,1.0,1.0,0,1.0,
Healthy Beverages,Naked Life,2023-07-01,3.4,3.4,0,1.0,
Healthy Beverages,Naked Life,2023-08-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2023-09-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2023-10-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2023-11-01,1.25,1.25,0,1.0,
Healthy Beverages,Naked Life,2023-12-01,3.2,3.2,0,1.0,
Healthy Beverages,Naked Life,2024-01-01,5.25,5.25,0,1.0,
Healthy Beverages,Naked Life,2024-02-01,2.0,2.0,0,1.0,
Healthy Beverages,Naked Life,2024-03-01,1.8,1.8,0,1.0,
Healthy Beverages,Naked Life,2024-04-01,1.0,1.0,0,1.0,
Healthy Beverages,Naked Life,2024-05-01,1.0,1.0,0,1.0,
Healthy Beverages,Naked Life,2024-06-01,1.0,1.0,0,1.0,
Healthy Beverages,Naked Life,2024-07-01,1.75,1.75,0,1.0,
Healthy Beverages,Naked Life,2024-08-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2024-09-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2024-10-01,0.0,0.0,0,1.0,
Healthy Beverages,Naked Life,2024-11-01,1.5,1.5,0,1.0,
Healthy Beverages,Naked Life,2024-12-01,5.0,5.0,0,1.0,
Healthy Beverages,Naked Life,2025-01-01,4.75,4.75,0,1.0,
Healthy Beverages,Naked Life,2025-02-01,3.0,3.0,0,1.0,
Healthy Beverages,Naked Life,2025-03-01,2.0,2.0,0,1.0,
