time [UTC],Bali,"Byron Bay, New South Wales","Margaret River Region, Western Australia","Noosa, Queensland","Port Douglas, Queensland"
2021-08-01,0.0,0.0,0.0,0.0,10.0
2021-09-01,0.0,0.0,0.0,0.0,12.0
2021-10-01,5.6,0.0,0.0,0.0,12.6
2021-11-01,12.5,0.0,0.0,0.0,12.0
2021-12-01,10.25,0.0,0.0,0.0,15.25
2022-01-01,13.0,0.0,0.0,0.0,17.4
2022-02-01,19.25,0.0,0.0,0.0,16.5
2022-03-01,38.75,0.0,0.0,0.0,16.75
2022-04-01,41.5,0.0,0.0,0.0,19.5
2022-05-01,48.8,0.0,0.0,0.0,18.6
2022-06-01,61.5,0.0,0.0,0.0,21.0
2022-07-01,64.2,0.0,0.0,0.0,19.0
2022-08-01,61.5,0.0,0.0,0.0,19.0
2022-09-01,63.25,0.0,0.0,0.0,17.75
2022-10-01,61.6,0.0,0.0,0.0,15.6
2022-11-01,51.0,0.0,0.0,0.0,11.75
2022-12-01,55.0,0.0,0.0,0.0,12.25
2023-01-01,60.6,0.0,0.0,0.0,14.0
2023-02-01,55.25,0.0,0.0,0.0,11.0
2023-03-01,51.0,0.0,0.0,0.0,12.5
2023-04-01,55.4,0.0,0.0,0.0,14.6
2023-05-01,49.75,0.0,0.0,0.0,14.5
2023-06-01,55.25,0.0,0.0,0.0,16.25
2023-07-01,57.8,0.0,0.0,0.0,17.2
2023-08-01,55.75,0.0,0.0,0.0,15.5
2023-09-01,52.75,0.0,0.0,0.0,15.0
2023-10-01,51.4,0.0,0.0,0.0,12.6
2023-11-01,47.75,0.0,0.0,0.0,10.5
2023-12-01,59.4,0.0,0.0,0.0,13.6
2024-01-01,68.0,0.0,0.0,0.0,10.5
2024-02-01,60.5,0.0,0.0,0.0,8.0
2024-03-01,61.4,0.0,0.0,0.0,9.8
2024-04-01,62.5,0.0,0.0,0.0,10.75
2024-05-01,65.0,0.0,0.0,0.0,12.0
2024-06-01,66.8,0.0,0.0,0.0,13.8
2024-07-01,71.25,0.0,0.0,0.0,14.5
2024-08-01,66.75,0.0,0.0,0.0,13.0
2024-09-01,69.6,0.0,0.0,0.0,12.4
2024-10-01,71.0,0.0,0.0,0.0,10.75
2024-11-01,72.75,0.0,0.0,0.0,8.75
2024-12-01,62.8,0.0,0.0,0.0,9.4
2025-01-01,72.5,0.0,0.0,0.0,9.75
2025-02-01,62.25,0.0,0.0,0.0,8.0
2025-03-01,59.8,0.0,0.0,0.0,8.8
