time [UTC],Bali,Tasmania,Visit Noosa
2021-08-01,5.0,39.0,0.0
2021-09-01,6.5,44.25,0.0
2021-10-01,9.8,51.6,0.0
2021-11-01,8.0,46.5,0.0
2021-12-01,7.0,76.0,0.0
2022-01-01,8.4,62.0,0.0
2022-02-01,11.5,56.75,0.0
2022-03-01,22.25,52.0,0.0
2022-04-01,24.5,51.25,0.0
2022-05-01,29.4,46.0,0.0
2022-06-01,35.5,44.75,0.0
2022-07-01,36.8,44.0,0.0
2022-08-01,36.25,42.5,0.0
2022-09-01,37.75,45.0,0.0
2022-10-01,35.2,48.8,0.0
2022-11-01,30.5,42.75,0.0
2022-12-01,32.75,45.25,0.0
2023-01-01,38.6,51.4,0.0
2023-02-01,35.0,48.75,0.0
2023-03-01,34.25,46.5,0.0
2023-04-01,37.0,45.6,0.0
2023-05-01,35.0,40.5,0.0
2023-06-01,38.0,39.75,0.0
2023-07-01,39.8,39.6,0.0
2023-08-01,37.5,38.25,0.0
2023-09-01,35.5,40.0,0.0
2023-10-01,34.6,41.8,0.0
2023-11-01,32.5,40.5,0.0
2023-12-01,37.0,47.2,0.0
2024-01-01,41.75,48.25,0.0
2024-02-01,37.25,46.0,0.0
2024-03-01,38.4,48.0,0.0
2024-04-01,37.25,38.5,0.0
2024-05-01,38.5,36.25,0.0
2024-06-01,41.6,35.8,0.0
2024-07-01,43.25,36.75,0.0
2024-08-01,40.75,37.0,0.0
2024-09-01,40.8,39.4,0.0
2024-10-01,40.75,38.25,0.0
2024-11-01,42.5,37.5,0.0
2024-12-01,39.0,41.8,0.0
2025-01-01,40.5,45.25,0.0
2025-02-01,35.0,45.5,0.0
2025-03-01,34.8,40.6,0.0
