time [UTC],Sheridan,Adairs,Bed Bath N’ Table,Bed Threads,Cultiver
2021-08-01,15.0,47.0,0.0,6.0,0.0
2021-09-01,16.25,56.5,0.0,6.5,0.0
2021-10-01,14.4,54.0,0.0,3.6,0.0
2021-11-01,23.0,70.5,0.0,5.25,0.0
2021-12-01,22.0,61.0,0.0,7.25,0.0
2022-01-01,17.2,50.0,0.0,5.2,0.0
2022-02-01,14.25,34.75,0.0,5.0,0.0
2022-03-01,15.0,29.75,0.0,7.0,0.0
2022-04-01,15.25,37.25,0.0,4.5,0.0
2022-05-01,16.0,21.8,0.0,4.2,0.0
2022-06-01,15.5,22.0,0.0,6.25,0.0
2022-07-01,12.8,23.0,0.0,4.0,0.0
2022-08-01,12.0,26.0,0.0,4.75,0.25
2022-09-01,12.5,29.25,0.0,4.5,0.0
2022-10-01,11.8,55.0,0.0,3.8,0.0
2022-11-01,18.25,54.75,0.0,7.25,0.0
2022-12-01,17.25,60.75,0.0,6.25,0.0
2023-01-01,11.2,47.8,0.0,4.2,0.0
2023-02-01,8.5,33.5,0.0,3.25,0.0
2023-03-01,9.25,42.0,0.0,4.0,0.0
2023-04-01,10.4,48.6,0.0,3.8,0.0
2023-05-01,12.75,43.75,0.0,2.75,0.0
2023-06-01,13.5,45.25,10.0,4.25,0.0
2023-07-01,11.6,38.6,14.4,3.2,0.0
2023-08-01,10.5,31.25,14.25,3.75,0.0
2023-09-01,10.5,38.75,14.75,3.5,0.0
2023-10-01,11.8,48.0,17.4,3.0,0.0
2023-11-01,17.0,59.0,30.75,6.25,0.0
2023-12-01,19.0,58.4,32.8,4.4,0.0
2024-01-01,12.25,42.0,14.75,3.25,0.0
2024-02-01,10.0,35.25,12.75,2.5,0.0
2024-03-01,11.2,46.2,16.0,3.4,0.0
2024-04-01,11.75,44.25,15.5,2.0,0.0
2024-05-01,12.0,43.0,18.0,2.25,0.0
2024-06-01,12.4,44.0,18.2,2.6,0.0
2024-07-01,11.0,39.5,15.75,2.25,0.0
2024-08-01,10.5,38.75,13.75,2.5,0.0
2024-09-01,11.8,45.0,15.2,2.4,0.0
2024-10-01,12.25,55.0,18.0,2.25,0.0
2024-11-01,19.0,62.25,31.25,4.25,0.0
2024-12-01,19.2,64.4,34.4,3.4,0.0
2025-01-01,12.0,46.25,16.25,2.5,0.0
2025-02-01,9.0,38.25,13.75,2.0,0.0
2025-03-01,11.0,46.2,18.0,1.8,0.0
