time [UTC],Sheridan,Dusk,Freedom,I Love Linen,Koala
2021-08-01,26.0,21.0,0.0,0.0,58.0
2021-09-01,28.75,24.25,2.0,0.0,60.25
2021-10-01,25.8,27.4,3.0,1.6,42.6
2021-11-01,41.0,43.75,3.5,4.25,38.5
2021-12-01,38.75,55.25,0.5,2.75,35.25
2022-01-01,30.4,19.4,3.4,3.2,34.8
2022-02-01,24.75,18.5,0.0,2.5,45.25
2022-03-01,26.5,17.75,0.75,2.25,64.75
2022-04-01,26.75,20.0,0.5,2.25,71.5
2022-05-01,28.2,20.8,1.8,2.2,79.6
2022-06-01,27.0,17.0,0.75,2.25,81.5
2022-07-01,22.2,18.4,0.2,1.6,78.0
2022-08-01,21.5,22.75,0.0,2.25,79.25
2022-09-01,22.0,19.5,5.75,1.75,71.0
2022-10-01,21.4,21.8,26.0,1.8,68.0
2022-11-01,32.75,35.5,36.0,2.5,73.0
2022-12-01,30.5,49.75,34.75,2.0,62.25
2023-01-01,19.8,10.8,36.0,1.0,61.0
2023-02-01,15.25,8.25,24.25,0.5,58.75
2023-03-01,16.25,5.0,43.25,2.0,78.25
2023-04-01,18.6,13.8,44.6,1.8,67.4
2023-05-01,22.25,19.0,47.75,2.0,76.5
2023-06-01,23.5,14.75,52.75,2.0,79.25
2023-07-01,20.8,10.2,45.4,1.6,75.6
2023-08-01,19.0,10.5,39.5,1.5,83.25
2023-09-01,18.75,9.25,40.25,2.25,74.75
2023-10-01,20.8,10.2,40.2,2.2,70.8
2023-11-01,30.5,29.75,46.5,3.25,85.0
2023-12-01,33.6,44.2,47.6,3.0,63.8
2024-01-01,22.0,15.75,43.5,2.0,53.0
2024-02-01,17.75,13.5,34.5,1.75,58.25
2024-03-01,19.2,16.0,34.0,2.2,64.2
2024-04-01,21.25,17.25,37.25,2.25,57.25
2024-05-01,20.75,18.5,39.75,2.0,64.0
2024-06-01,21.8,17.2,48.4,3.0,68.6
2024-07-01,19.75,18.25,42.0,1.75,60.0
2024-08-01,18.5,17.25,39.25,2.25,69.75
2024-09-01,20.4,19.0,41.6,2.6,68.2
2024-10-01,22.0,23.0,42.25,2.5,69.0
2024-11-01,33.75,39.0,51.0,4.5,87.75
2024-12-01,34.0,53.2,51.6,2.8,71.8
2025-01-01,21.0,17.0,47.25,2.5,61.5
2025-02-01,16.0,16.0,37.5,1.75,61.75
2025-03-01,19.0,15.4,33.8,2.2,72.0
