time [UTC],Sheridan,Pillow Talk,Sheet Society,Temple & Webster
2021-08-01,23.0,0.0,0.0,71.0
2021-09-01,25.5,0.0,0.0,85.5
2021-10-01,22.8,0.0,0.0,75.2
2021-11-01,35.75,0.0,0.0,78.0
2021-12-01,34.25,0.0,0.0,65.25
2022-01-01,26.6,0.0,0.0,74.0
2022-02-01,21.75,0.0,0.0,65.0
2022-03-01,23.25,0.0,0.0,66.75
2022-04-01,23.5,0.0,0.0,64.5
2022-05-01,24.8,0.0,0.0,60.8
2022-06-01,23.75,0.0,0.0,65.0
2022-07-01,19.8,0.0,0.0,61.4
2022-08-01,19.0,0.0,0.0,62.0
2022-09-01,19.5,0.0,0.0,62.5
2022-10-01,18.6,0.0,0.0,60.2
2022-11-01,28.75,0.0,0.0,65.75
2022-12-01,27.0,0.0,0.0,57.25
2023-01-01,17.6,0.0,0.0,60.0
2023-02-01,13.75,0.0,0.25,50.75
2023-03-01,14.25,0.0,0.0,51.5
2023-04-01,16.6,0.0,0.6,52.6
2023-05-01,19.5,0.0,0.75,54.5
2023-06-01,20.5,0.0,0.0,62.0
2023-07-01,18.6,7.6,0.0,57.0
2023-08-01,16.25,14.0,2.0,58.0
2023-09-01,16.5,26.0,1.25,59.0
2023-10-01,18.4,29.2,1.0,65.8
2023-11-01,26.5,36.0,3.75,85.75
2023-12-01,29.4,43.4,3.0,73.4
2024-01-01,19.25,26.25,3.5,71.5
2024-02-01,15.5,22.5,2.75,64.0
2024-03-01,17.0,22.0,2.6,59.6
2024-04-01,18.25,25.0,2.5,62.5
2024-05-01,18.5,26.25,3.0,63.75
2024-06-01,19.0,16.8,3.8,63.0
2024-07-01,17.25,27.75,3.0,57.25
2024-08-01,16.25,30.0,3.5,57.5
2024-09-01,18.2,28.2,4.4,53.6
2024-10-01,19.25,32.5,5.75,53.75
2024-11-01,29.75,43.75,8.75,78.5
2024-12-01,29.6,48.4,5.6,76.2
2025-01-01,18.25,31.25,4.0,73.5
2025-02-01,14.0,25.75,3.75,63.25
2025-03-01,16.8,23.0,4.4,59.4
