category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Homeware,Sheridan,2021-08-01,15.0,15.0,0,1.0,
Homeware,Sheridan,2021-09-01,16.25,16.25,0,1.0,
Homeware,Sheridan,2021-10-01,14.4,14.4,0,1.0,
Homeware,Sheridan,2021-11-01,23.0,23.0,0,1.0,
Homeware,Sheridan,2021-12-01,22.0,22.0,0,1.0,
Homeware,Sheridan,2022-01-01,17.2,17.2,0,1.0,
Homeware,Sheridan,2022-02-01,14.25,14.25,0,1.0,
Homeware,Sheridan,2022-03-01,15.0,15.0,0,1.0,
Homeware,Sheridan,2022-04-01,15.25,15.25,0,1.0,
Homeware,Sheridan,2022-05-01,16.0,16.0,0,1.0,
Homeware,Sheridan,2022-06-01,15.5,15.5,0,1.0,
Homeware,Sheridan,2022-07-01,12.8,12.8,0,1.0,
Homeware,Sheridan,2022-08-01,12.0,12.0,0,1.0,
Homeware,Sheridan,2022-09-01,12.5,12.5,0,1.0,
Homeware,Sheridan,2022-10-01,11.8,11.8,0,1.0,
Homeware,Sheridan,2022-11-01,18.25,18.25,0,1.0,
Homeware,Sheridan,2022-12-01,17.25,17.25,0,1.0,
Homeware,Sheridan,2023-01-01,11.2,11.2,0,1.0,
Homeware,Sheridan,2023-02-01,8.5,8.5,0,1.0,
Homeware,Sheridan,2023-03-01,9.25,9.25,0,1.0,
Homeware,Sheridan,2023-04-01,10.4,10.4,0,1.0,
Homeware,Sheridan,2023-05-01,12.75,12.75,0,1.0,
Homeware,Sheridan,2023-06-01,13.5,13.5,0,1.0,
Homeware,Sheridan,2023-07-01,11.6,11.6,0,1.0,
Homeware,Sheridan,2023-08-01,10.5,10.5,0,1.0,
Homeware,Sheridan,2023-09-01,10.5,10.5,0,1.0,
Homeware,Sheridan,2023-10-01,11.8,11.8,0,1.0,
Homeware,Sheridan,2023-11-01,17.0,17.0,0,1.0,
Homeware,Sheridan,2023-12-01,19.0,19.0,0,1.0,
Homeware,Sheridan,2024-01-01,12.25,12.25,0,1.0,
Homeware,Sheridan,2024-02-01,10.0,10.0,0,1.0,
Homeware,Sheridan,2024-03-01,11.2,11.2,0,1.0,
Homeware,Sheridan,2024-04-01,11.75,11.75,0,1.0,
Homeware,Sheridan,2024-05-01,12.0,12.0,0,1.0,
Homeware,Sheridan,2024-06-01,12.4,12.4,0,1.0,
Homeware,Sheridan,2024-07-01,11.0,11.0,0,1.0,
